자치구,인구소계,등록인원,등록률 (%)
종로구,139417,62870,45.09
중구,121312,40677,33.53
용산구,213151,55913,26.23
성동구,277361,77018,27.77
광진구,335554,91167,27.17
동대문구,341149,90430,26.51
중랑구,382155,108979,28.52
성북구,425602,106940,25.13
강북구,288113,63083,21.9
도봉구,306948,81891,26.68
노원구,498213,160412,32.2
은평구,466770,124364,26.64
서대문구,306231,94833,30.97
마포구,363697,100666,27.68
양천구,436028,142839,32.76
강서구,563058,195573,34.73
구로구,392405,92147,23.48
금천구,227481,57032,25.07
영등포구,374794,102130,27.25
동작구,378769,88298,23.31
관악구,481956,114873,23.83
서초구,407664,121152,29.72
강남구,544873,196826,36.12
송파구,654166,160245,24.5
강동구,459167,113748,24.77
