,범죄명,장소,발생건수
0,살인,단독주택,19
1,살인,아파트,21
2,살인,다세대/연립,28
3,살인,오피스텔(원룸),2
4,살인,기타거주시설(기숙사 등),4
5,살인,고속도로,0
6,살인,자동차전용도로,1
7,살인,일반도로,4
8,살인,통행로(보도/골목길),11
9,살인,백화점,0
10,살인,대형할인점,0
11,살인,"슈퍼마켓, 소매점",1
12,살인,편의점,0
13,살인,시장/노점,1
14,살인,창고(매장창고한정),0
15,살인,무인상점,0
16,살인,기타상점,2
17,살인,숙박업소(호텔/모텔/여관),3
18,살인,목욕탕/찜질방/사우나,0
19,살인,이발소/미용실,0
20,살인,마사지업소,0
21,살인,공중위생업소/기타,0
22,살인,음식점,2
23,살인,카페,0
24,살인,주점,2
25,살인,단란/유흥/나이트(클럽)/ 카바레,3
26,살인,버스터미널/정류소,1
27,살인,지하철역/전철역,1
28,살인,기차역,0
29,살인,여객선터미널,0
30,살인,공항,0
31,살인,버스,0
32,살인,택시,0
33,살인,자가용자동차,1
34,살인,지하철/전철,0
35,살인,기차역,0
36,살인,선박,0
37,살인,비행기,0
38,살인,교통수단내/기타,0
39,살인,공연장/극장,0
40,살인,체육시설,0
41,살인,공원/놀이시설,0
42,살인,게임장/pc방,0
43,살인,"기타(DVD방, 유원지)",0
44,살인,어린이집/유치원,0
45,살인,학교,1
46,살인,도서관,0
47,살인,학원,0
48,살인,기타 교육시설,0
49,살인,금융보험기관,0
50,살인,의료기관,6
51,살인,종교시설,1
52,살인,야외/산야,2
53,살인,해안,0
54,살인,폐가/공터,1
55,살인,공중화장실,0
56,살인,관공서,1
57,살인,군사기지/군사시설,2
58,살인,구금장소,0
59,살인,기타,26
60,살인,미상,3
61,강도,단독주택,4
62,강도,아파트,5
63,강도,다세대/연립,8
64,강도,오피스텔(원룸),10
65,강도,기타거주시설(기숙사 등),0
66,강도,고속도로,0
67,강도,자동차전용도로,0
68,강도,일반도로,5
69,강도,통행로(보도/골목길),17
70,강도,백화점,2
71,강도,대형할인점,1
72,강도,"슈퍼마켓, 소매점",5
73,강도,편의점,5
74,강도,시장/노점,1
75,강도,창고(매장창고한정),0
76,강도,무인상점,1
77,강도,기타상점,2
78,강도,숙박업소(호텔/모텔/여관),8
79,강도,목욕탕/찜질방/사우나,0
80,강도,이발소/미용실,0
81,강도,마사지업소,1
82,강도,공중위생업소/기타,0
83,강도,음식점,0
84,강도,카페,3
85,강도,주점,4
86,강도,단란/유흥/나이트(클럽)/ 카바레,0
87,강도,버스터미널/정류소,0
88,강도,지하철역/전철역,1
89,강도,기차역,0
90,강도,여객선터미널,0
91,강도,공항,0
92,강도,버스,0
93,강도,택시,0
94,강도,자가용자동차,5
95,강도,지하철/전철,0
96,강도,기차역,0
97,강도,선박,0
98,강도,비행기,0
99,강도,교통수단내/기타,0
100,강도,공연장/극장,0
101,강도,체육시설,0
102,강도,공원/놀이시설,3
103,강도,게임장/pc방,1
104,강도,"기타(DVD방, 유원지)",1
105,강도,어린이집/유치원,0
106,강도,학교,0
107,강도,도서관,0
108,강도,학원,0
109,강도,기타 교육시설,0
110,강도,금융보험기관,3
111,강도,의료기관,0
112,강도,종교시설,1
113,강도,야외/산야,5
114,강도,해안,0
115,강도,폐가/공터,0
116,강도,공중화장실,2
117,강도,관공서,0
118,강도,군사기지/군사시설,0
119,강도,구금장소,0
120,강도,기타,25
121,강도,미상,0
122,강간·강제추행,단독주택,169
123,강간·강제추행,아파트,258
124,강간·강제추행,다세대/연립,344
125,강간·강제추행,오피스텔(원룸),310
126,강간·강제추행,기타거주시설(기숙사 등),42
127,강간·강제추행,고속도로,3
128,강간·강제추행,자동차전용도로,3
129,강간·강제추행,일반도로,78
130,강간·강제추행,통행로(보도/골목길),439
131,강간·강제추행,백화점,16
132,강간·강제추행,대형할인점,20
133,강간·강제추행,"슈퍼마켓, 소매점",10
134,강간·강제추행,편의점,41
135,강간·강제추행,시장/노점,21
136,강간·강제추행,창고(매장창고한정),5
137,강간·강제추행,무인상점,5
138,강간·강제추행,기타상점,91
139,강간·강제추행,숙박업소(호텔/모텔/여관),538
140,강간·강제추행,목욕탕/찜질방/사우나,96
141,강간·강제추행,이발소/미용실,9
142,강간·강제추행,마사지업소,40
143,강간·강제추행,공중위생업소/기타,19
144,강간·강제추행,음식점,243
145,강간·강제추행,카페,46
146,강간·강제추행,주점,333
147,강간·강제추행,단란/유흥/나이트(클럽)/ 카바레,415
148,강간·강제추행,버스터미널/정류소,24
149,강간·강제추행,지하철역/전철역,339
150,강간·강제추행,기차역,1
151,강간·강제추행,여객선터미널,0
152,강간·강제추행,공항,2
153,강간·강제추행,버스,132
154,강간·강제추행,택시,54
155,강간·강제추행,자가용자동차,85
156,강간·강제추행,지하철/전철,457
157,강간·강제추행,기차역,0
158,강간·강제추행,선박,1
