,구별,2017,2018,2019,2020,2021,2022,2023
0,본청,2739800,2990921,3127145,3401490,3529119,4058280,4030565
1,종로구,784939,893657,937810,975054,1175671,1253769,1115112
2,중구,1264125,1411351,1655928,1651563,1776265,2000773,1929521
3,용산구,746676,692736,712486,1002792,1187660,1161963,1087564
4,성동구,503220,516780,530273,730131,787894,817063,769246
5,광진구,364837,409392,391148,434393,485028,508075,424291
6,동대문구,348706,386298,384483,418401,472399,458768,562131
7,중랑구,252708,257921,272915,323530,352268,313374,282300
8,성북구,347739,397314,408127,459383,511370,459838,395843
9,강북구,183419,185376,182701,215952,234523,212756,189077
10,도봉구,193652,190485,200935,223711,262552,219696,212398
11,노원구,298709,302776,294657,396154,422431,390611,336438
12,은평구,365802,331656,342933,431454,438617,398089,357770
13,서대문구,312943,313811,347249,421198,425898,425615,371690
14,마포구,630053,685970,741808,877557,975714,937243,822382
15,양천구,400827,443180,482297,584022,601917,546972,483306
16,강서구,743619,733141,774541,898206,975262,939255,765482
17,구로구,435902,428401,425101,557599,588253,618137,499482
18,금천구,351268,397424,417418,445289,504045,514001,452590
19,영등포구,1050612,1202173,1325272,1699928,1687187,1889901,1661787
20,동작구,382469,383848,420049,492395,622107,483339,421185
21,관악구,347787,341730,354752,405906,416842,395838,343546
22,서초구,1637524,1828994,1958971,2200208,2588091,2533849,2336230
23,강남구,2759823,3179117,3405856,3791323,4617990,4792867,4252632
24,송파구,1282360,1289668,1521933,1616716,1943891,1776767,1553542
25,강동구,566919,501191,651426,877635,799509,675294,650852
