,자치구,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
0,중구,24,0,6,3,9,0,24
1,용산구,36,2,7,15,28,0,12
2,성동구,81,0,2,16,40,0,7
3,광진구,56,0,0,40,37,1,4
4,동대문구,77,0,2,41,52,0,8
5,중랑구,66,0,4,58,44,1,3
6,성북구,85,2,9,36,51,2,6
7,강북구,61,1,1,29,19,2,2
8,도봉구,65,1,1,40,47,1,3
9,노원구,91,2,1,34,146,0,8
10,은평구,94,0,6,65,30,1,4
11,서대문구,64,0,2,30,31,1,5
12,마포구,85,0,4,25,45,4,18
13,양천구,87,0,1,32,87,0,9
14,강서구,97,1,5,70,102,3,18
15,구로구,96,3,4,54,79,3,8
16,금천구,53,1,8,27,20,0,7
17,영등포구,84,1,1,30,58,0,36
18,동작구,71,0,2,34,44,1,8
19,관악구,79,1,3,38,41,0,5
20,서초구,94,0,1,19,29,2,21
21,강남구,65,0,0,36,38,1,38
22,송파구,107,1,3,76,105,1,20
23,강동구,88,1,1,60,74,1,5
