,자치구별,구분별(1),구분별(2),2021,2022,2023
2,종로구,다문화가구원 (명),내국인(출생),1780,1790,1810
3,종로구,다문화가구원 (명),내국인(귀화·인지),511,535,540
4,종로구,다문화가구원 (명),외국인(결혼이민자),611,612,598
5,종로구,다문화가구원 (명),외국인(기타),155,130,147
8,중구,다문화가구원 (명),내국인(출생),1811,1850,1924
9,중구,다문화가구원 (명),내국인(귀화·인지),668,672,688
10,중구,다문화가구원 (명),외국인(결혼이민자),659,675,660
11,중구,다문화가구원 (명),외국인(기타),207,175,183
14,용산구,다문화가구원 (명),내국인(출생),3489,3736,3714
15,용산구,다문화가구원 (명),내국인(귀화·인지),713,741,770
16,용산구,다문화가구원 (명),외국인(결혼이민자),1338,1364,1336
17,용산구,다문화가구원 (명),외국인(기타),191,179,178
20,성동구,다문화가구원 (명),내국인(출생),3379,3424,3381
21,성동구,다문화가구원 (명),내국인(귀화·인지),1028,1063,1059
22,성동구,다문화가구원 (명),외국인(결혼이민자),1081,1066,1017
23,성동구,다문화가구원 (명),외국인(기타),183,177,168
26,광진구,다문화가구원 (명),내국인(출생),3510,3578,3695
27,광진구,다문화가구원 (명),내국인(귀화·인지),1732,1723,1724
28,광진구,다문화가구원 (명),외국인(결혼이민자),1095,1106,1110
29,광진구,다문화가구원 (명),외국인(기타),298,216,213
32,동대문구,다문화가구원 (명),내국인(출생),3556,3601,3779
33,동대문구,다문화가구원 (명),내국인(귀화·인지),1439,1455,1530
34,동대문구,다문화가구원 (명),외국인(결혼이민자),1072,1075,1062
35,동대문구,다문화가구원 (명),외국인(기타),292,317,298
38,중랑구,다문화가구원 (명),내국인(출생),4283,4291,4357
39,중랑구,다문화가구원 (명),내국인(귀화·인지),1384,1445,1498
40,중랑구,다문화가구원 (명),외국인(결혼이민자),1154,1144,1169
41,중랑구,다문화가구원 (명),외국인(기타),207,216,237
44,성북구,다문화가구원 (명),내국인(출생),4100,4249,4360
45,성북구,다문화가구원 (명),내국인(귀화·인지),1102,1133,1156
46,성북구,다문화가구원 (명),외국인(결혼이민자),1067,1094,1097
47,성북구,다문화가구원 (명),외국인(기타),203,206,216
50,강북구,다문화가구원 (명),내국인(출생),3528,3556,3646
51,강북구,다문화가구원 (명),내국인(귀화·인지),1076,1113,1135
52,강북구,다문화가구원 (명),외국인(결혼이민자),853,853,849
53,강북구,다문화가구원 (명),외국인(기타),138,153,167
56,도봉구,다문화가구원 (명),내국인(출생),2985,3038,3051
57,도봉구,다문화가구원 (명),내국인(귀화·인지),807,850,901
58,도봉구,다문화가구원 (명),외국인(결혼이민자),691,662,674
59,도봉구,다문화가구원 (명),외국인(기타),149,145,141
62,노원구,다문화가구원 (명),내국인(출생),3974,4081,4193
63,노원구,다문화가구원 (명),내국인(귀화·인지),846,908,930
64,노원구,다문화가구원 (명),외국인(결혼이민자),960,948,950
65,노원구,다문화가구원 (명),외국인(기타),144,160,160
68,은평구,다문화가구원 (명),내국인(출생),5164,5275,5404
69,은평구,다문화가구원 (명),내국인(귀화·인지),1512,1584,1653
70,은평구,다문화가구원 (명),외국인(결혼이민자),1302,1301,1298
71,은평구,다문화가구원 (명),외국인(기타),272,263,261
74,서대문구,다문화가구원 (명),내국인(출생),3244,3485,3662
75,서대문구,다문화가구원 (명),내국인(귀화·인지),919,966,1019
76,서대문구,다문화가구원 (명),외국인(결혼이민자),948,987,991
77,서대문구,다문화가구원 (명),외국인(기타),175,167,196
80,마포구,다문화가구원 (명),내국인(출생),3766,3935,3957
81,마포구,다문화가구원 (명),내국인(귀화·인지),905,949,1002
82,마포구,다문화가구원 (명),외국인(결혼이민자),1210,1284,1229
83,마포구,다문화가구원 (명),외국인(기타),161,186,198
86,양천구,다문화가구원 (명),내국인(출생),4190,4301,4343
87,양천구,다문화가구원 (명),내국인(귀화·인지),1575,1648,1691
88,양천구,다문화가구원 (명),외국인(결혼이민자),1111,1090,1076
89,양천구,다문화가구원 (명),외국인(기타),265,250,275
92,강서구,다문화가구원 (명),내국인(출생),6086,6012,6156
93,강서구,다문화가구원 (명),내국인(귀화·인지),2273,2347,2401
94,강서구,다문화가구원 (명),외국인(결혼이민자),1692,1701,1644
95,강서구,다문화가구원 (명),외국인(기타),418,400,389
98,구로구,다문화가구원 (명),내국인(출생),6430,6528,6640
99,구로구,다문화가구원 (명),내국인(귀화·인지),7090,7282,7409
100,구로구,다문화가구원 (명),외국인(결혼이민자),2623,2778,2761
101,구로구,다문화가구원 (명),외국인(기타),2001,1732,1806
104,금천구,다문화가구원 (명),내국인(출생),4085,4181,4280
105,금천구,다문화가구원 (명),내국인(귀화·인지),4116,4125,4222
106,금천구,다문화가구원 (명),외국인(결혼이민자),1699,1766,1809
107,금천구,다문화가구원 (명),외국인(기타),1054,962,964
