,국적,성별,소계,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
0,소계,남자,107958,4597,4873,7842,2966,6167,6468,2030,4497,1613,823,1875,1608,4332,4047,1316,2470,12207,7094,11682,4342,6190,2087,2452,2568,1812
1,소계,여자,140420,6585,5547,6698,4211,9188,11407,3113,7921,3036,1570,2559,2449,9606,7335,1874,3169,10679,6371,11022,6244,9220,2275,2882,3203,2256
2,한국계 중국인,남자,37916,415,537,295,599,1723,797,522,339,360,159,187,393,238,353,616,860,9318,5371,8415,1529,2888,180,156,978,688
3,한국계 중국인,여자,31756,434,529,343,605,1714,797,599,343,398,178,215,423,315,358,577,859,6386,3872,6600,1426,2679,225,263,966,652
4,중국,남자,21288,1095,1251,200,909,1736,2313,237,1400,264,99,345,238,1225,973,173,329,2061,1045,1989,1185,914,295,467,357,188
5,중국,여자,40498,2890,1725,375,1631,3227,5365,487,2874,738,278,483,480,3356,2276,356,683,3076,1573,2871,2082,1831,356,466,597,422
6,미국,남자,5423,526,173,1230,118,109,107,35,222,51,40,101,91,327,491,69,89,41,24,122,120,143,408,467,240,79
7,미국,여자,5665,460,121,939,105,131,164,37,302,46,43,104,73,429,739,91,112,62,29,119,109,231,325,446,318,130
8,타이완,남자,3289,84,253,155,71,49,86,32,107,51,18,30,239,882,491,83,119,61,36,169,44,54,41,63,45,26
9,타이완,여자,4501,189,308,160,80,117,313,51,182,76,27,43,248,966,619,70,150,87,53,172,140,140,77,85,97,51
10,일본,남자,2313,157,115,489,37,64,62,13,53,8,18,18,73,86,386,17,53,33,17,39,32,72,105,226,108,32
11,일본,여자,7811,221,156,584,273,411,662,147,370,155,120,219,291,735,755,131,321,183,123,258,312,472,205,307,224,176
12,베트남,남자,8323,971,682,82,373,612,1385,258,603,238,100,477,119,414,183,72,148,175,146,125,488,334,41,85,94,118
13,베트남,여자,14878,1030,820,183,604,1397,1605,483,1105,563,333,690,373,1137,476,207,314,287,292,266,1136,857,88,140,223,269
14,몽골,남자,3364,32,117,68,82,494,263,663,419,243,106,164,27,50,28,35,23,33,53,27,51,219,15,14,41,97
15,몽골,여자,5420,54,157,110,145,679,420,873,777,487,174,184,45,111,50,51,67,54,64,52,99,505,26,59,57,120
16,필리핀,남자,953,22,32,154,84,26,71,29,73,21,51,17,27,25,26,22,24,45,56,23,13,28,13,23,27,21
17,필리핀,여자,2544,59,78,452,79,58,119,113,207,78,118,70,81,115,76,91,109,81,69,51,48,129,70,51,68,74
18,캐나다,남자,963,24,62,123,32,33,35,12,48,13,10,27,21,61,62,20,43,17,7,33,24,38,64,89,48,17
19,캐나다,여자,669,17,43,81,9,20,16,11,33,2,7,12,15,61,41,16,14,7,6,20,14,39,42,82,46,15
20,인도,남자,1630,22,87,379,75,113,85,3,103,9,1,49,35,87,76,7,42,27,15,39,43,107,61,56,87,22
21,인도,여자,1189,17,66,230,51,74,79,1,85,3,3,35,21,108,76,7,12,15,5,12,33,121,32,31,61,11
22,우즈베키스탄,남자,2054,41,218,85,76,356,220,22,159,79,21,55,22,41,19,15,41,28,20,28,83,210,28,45,46,96
23,우즈베키스탄,여자,1150,30,176,75,26,96,118,30,60,50,44,27,34,32,18,18,31,22,20,20,34,92,22,21,19,35
24,영국,남자,1095,68,65,198,26,25,30,15,40,7,15,19,33,94,86,18,33,12,4,23,25,50,67,57,65,20
25,영국,여자,969,31,59,129,18,24,36,9,44,9,11,13,12,96,68,26,29,14,6,28,21,66,63,79,54,24
26,프랑스,남자,1519,73,59,216,21,51,31,7,40,17,9,8,17,130,151,15,20,13,11,44,69,88,304,75,39,11
27,프랑스,여자,1785,84,57,176,38,84,89,8,104,22,4,8,24,230,258,5,12,30,16,23,66,153,190,72,24,8
28,타이,남자,774,6,8,107,14,2,10,5,15,43,12,79,18,14,33,4,108,6,18,50,29,27,15,73,45,33
29,타이,여자,1738,32,34,104,40,47,81,58,52,62,34,39,57,180,161,36,85,70,51,47,56,147,61,84,68,52
30,러시아(연방),남자,927,44,351,65,12,17,37,3,21,6,6,16,11,23,39,18,37,12,10,18,21,50,16,49,21,24
31,러시아(연방),여자,2257,62,404,164,48,75,131,27,137,42,28,67,43,103,140,21,78,34,19,62,87,232,52,130,39,32
32,독일,남자,852,31,90,199,29,26,65,3,54,4,3,8,12,49,70,2,14,5,1,14,26,58,32,28,23,6
33,독일,여자,1108,41,96,206,33,63,93,1,60,11,4,3,7,131,102,4,8,7,3,13,50,75,27,44,16,10
34,오스트레일리아,남자,496,69,21,74,17,9,10,7,17,1,3,11,11,28,26,10,26,11,3,18,7,17,33,36,18,13
35,오스트레일리아,여자,380,64,18,51,4,8,15,1,27,-,2,1,5,51,32,7,6,3,1,5,7,23,15,13,13,8
36,네팔,남자,1260,459,13,18,31,102,194,21,45,16,20,22,8,22,22,4,9,13,19,78,12,69,15,13,20,15
37,네팔,여자,788,302,9,12,22,95,97,13,46,19,13,15,3,16,15,3,6,7,9,18,19,40,3,3,-,3
38,파키스탄,남자,979,15,41,266,70,132,24,7,74,30,28,17,9,26,13,11,17,25,22,21,38,42,6,22,2,21
39,파키스탄,여자,445,5,6,130,26,67,10,3,40,12,6,25,2,12,12,4,11,7,2,3,22,30,2,2,1,5
40,인도네시아,남자,624,15,12,39,44,58,39,2,63,5,3,15,9,23,23,14,13,12,12,116,15,61,11,11,1,8
41,인도네시아,여자,1199,34,23,52,40,89,77,7,98,24,8,14,17,142,92,9,22,21,15,128,40,158,20,40,24,5
42,나이지리아,남자,475,1,2,388,7,3,6,1,7,-,6,10,4,3,2,1,7,3,1,1,7,11,3,-,1,-
43,나이지리아,여자,177,1,1,129,9,-,3,-,5,-,1,1,1,4,1,2,4,1,1,-,5,6,2,-,-,-
44,말레이시아,남자,861,13,23,469,35,57,32,4,29,2,1,5,12,13,14,2,25,23,1,22,3,43,14,9,5,5
45,말레이시아,여자,936,21,15,175,62,111,92,5,81,4,10,7,21,83,52,4,8,23,2,20,14,84,15,9,11,7
46,방글라데시,남자,583,3,4,93,37,103,41,42,46,6,5,11,7,7,9,3,8,21,10,11,27,66,2,8,4,9
47,방글라데시,여자,218,3,2,56,4,30,20,10,27,4,1,9,1,10,10,-,4,2,2,-,2,12,2,3,1,3
48,캄 보 디 아,남자,525,2,11,39,7,5,40,4,9,5,12,20,18,16,11,7,51,15,44,30,12,41,7,28,21,70
49,캄 보 디 아,여자,457,8,8,45,11,10,32,22,24,20,18,15,18,29,23,20,29,19,24,7,10,35,3,3,12,12
50,사우디아라비아,남자,305,8,14,131,3,1,3,-,5,14,-,6,7,4,47,-,-,1,-,2,-,1,20,10,26,2
51,사우디아라비아,여자,256,6,10,101,4,3,6,-,5,15,-,-,3,8,49,-,1,-,-,1,1,5,8,4,18,8
