자치구,신고건수전체,신고성별남성,신고성별여성,신고성별불상,신고성별기타,접수긴급유형긴급,접수긴급유형중요,접수긴급유형일반,접수긴급유형민원,접수긴급유형기타,발생요일일요일,발생요일월요일,발생요일화요일,발생요일수요일,발생요일목요일,발생요일금요일,발생요일토요일,발생시간대00,발생시간대01,발생시간대02,발생시간대03,발생시간대04,발생시간대05,발생시간대06,발생시간대07,발생시간대08,발생시간대09,발생시간대10,발생시간대11,발생시간대12,발생시간대13,발생시간대14,발생시간대15,발생시간대16,발생시간대17,발생시간대18,발생시간대19,발생시간대20,발생시간대21,발생시간대22,발생시간대23
강남구,1194,586,254,354,0,0,76,1085,27,6,160,158,160,175,165,176,200,85,35,21,19,7,5,6,6,6,5,6,5,11,13,11,32,103,70,58,89,84,139,229,149
강동구,1072,570,210,292,0,1,60,982,23,6,164,166,113,168,123,142,196,43,23,27,10,9,2,1,9,5,5,2,8,17,8,35,55,98,86,92,98,128,101,128,82
강북구,760,365,168,227,0,2,64,671,20,3,103,101,94,135,96,112,119,40,33,25,18,17,13,12,4,3,9,4,11,6,5,12,32,64,51,57,50,84,76,75,59
강서구,1225,612,273,340,0,0,81,1117,17,10,174,178,186,161,157,204,165,72,48,22,27,11,6,4,11,7,4,5,8,13,15,30,52,106,99,68,93,99,151,171,103
관악구,606,314,149,143,0,2,64,521,19,0,95,79,84,95,75,84,94,51,25,23,20,14,11,8,2,3,1,0,3,0,0,9,24,54,40,24,37,57,68,79,53
광진구,837,441,175,221,0,0,49,773,10,5,121,127,111,129,94,142,113,45,26,28,11,3,4,2,6,1,1,2,6,12,13,22,39,62,73,66,62,71,83,128,71
구로구,729,403,163,163,0,0,44,662,16,7,104,98,83,99,96,135,114,42,29,18,19,10,9,3,1,7,1,5,8,4,12,12,22,65,67,63,53,70,73,84,52
금천구,459,238,135,86,0,0,44,408,7,0,70,60,58,48,44,86,93,36,25,21,24,30,8,2,1,4,2,2,0,2,4,7,12,23,23,31,29,36,37,50,50
기타,8357,4722,1810,1825,0,4,355,7349,293,356,1241,1068,1027,1198,1120,1351,1352,491,355,232,207,118,44,35,29,58,24,35,38,86,94,163,299,607,692,628,651,786,922,1008,755
노원구,1417,806,263,348,0,3,87,1291,33,3,184,209,171,221,225,208,199,83,51,32,29,14,8,2,1,9,3,3,10,11,16,20,85,134,101,106,110,113,141,216,119
도봉구,866,472,185,209,0,1,59,785,16,5,127,107,103,126,120,139,144,50,36,42,15,9,11,3,2,7,2,2,4,8,12,12,29,47,47,53,76,68,127,107,97
동대문구,342,191,62,89,0,0,23,312,5,2,37,43,47,52,41,63,59,26,17,15,12,8,2,0,3,2,4,1,1,4,5,5,19,25,15,19,18,32,30,45,34
동작구,694,334,139,221,0,1,65,615,13,0,109,88,94,85,102,91,125,26,26,10,15,5,3,4,6,3,5,1,4,0,9,14,26,46,57,69,72,75,77,88,53
마포구,1158,560,214,384,0,0,65,1066,18,9,189,155,145,140,144,197,188,47,33,31,12,12,6,5,7,0,0,3,6,9,10,22,45,83,107,120,128,132,144,133,63
서대문구,456,239,104,113,0,0,30,415,8,3,57,67,86,66,57,60,63,22,25,9,3,8,3,5,5,6,5,2,4,4,3,11,13,39,30,31,33,33,46,71,45
서초구,626,329,113,184,0,1,40,561,22,2,118,77,68,87,96,66,114,48,23,22,12,5,5,0,1,1,3,4,0,4,3,3,23,44,23,19,43,50,86,121,83
성동구,345,189,74,82,0,0,25,312,6,2,61,39,43,70,52,42,38,25,13,5,5,3,3,5,2,0,2,2,2,3,7,3,13,33,24,26,16,35,38,49,31
성북구,1126,532,289,305,0,2,73,1025,19,7,165,130,163,160,164,200,144,48,25,26,12,12,3,3,4,5,2,6,6,7,19,12,53,101,103,71,81,137,161,153,76
송파구,1072,538,240,294,0,0,75,977,13,7,176,130,148,129,152,144,193,81,52,16,28,17,6,2,2,1,9,6,1,10,11,24,53,68,66,66,59,93,121,158,122
양천구,1023,609,150,264,0,0,62,941,16,4,140,147,132,135,152,166,151,70,31,18,14,2,4,3,1,6,3,3,1,19,14,17,43,91,58,61,51,89,116,195,113
영등포구,713,349,170,194,0,2,71,625,10,5,137,82,83,79,83,91,158,38,34,24,18,9,7,2,7,1,3,4,9,1,10,6,27,29,55,73,64,67,72,97,56
용산구,99,52,18,29,0,0,10,88,1,0,6,11,14,12,17,24,15,13,8,2,2,0,1,0,0,0,1,0,0,2,1,1,8,5,6,4,5,11,11,14,4
은평구,1634,747,307,580,0,0,112,1502,15,5,234,235,208,257,231,239,230,86,47,35,53,33,13,9,6,12,9,9,11,15,17,35,58,106,104,109,142,149,208,227,141
종로구,135,82,26,27,0,0,7,117,10,1,16,13,10,22,19,35,20,9,0,5,1,1,0,1,0,0,1,2,3,4,1,0,11,11,5,11,10,12,25,14,8
중구,179,113,32,34,0,0,12,163,4,0,14,24,25,29,30,43,14,7,5,5,3,1,2,1,1,2,4,2,2,1,8,11,24,32,11,11,9,7,12,12,6
중랑구,705,370,174,161,0,0,43,643,16,3,96,107,76,90,109,115,112,51,38,13,24,10,1,9,2,6,1,2,5,9,8,6,22,45,41,45,60,59,88,88,72
