,전 연도 소득 분위,당해 연도 소득 분위,2018,2019,2020,2021,2022
0,전 연도 - 소득 1분위,당해 연도 - 소득 1분위,67.6,67.9,67.8,67.1,67.8
1,전 연도 - 소득 1분위,당해 연도 - 소득 2분위,21.9,21.8,22.1,22.5,22.0
2,전 연도 - 소득 1분위,당해 연도 - 소득 3분위,7.5,7.4,7.2,7.3,7.2
3,전 연도 - 소득 1분위,당해 연도 - 소득 4분위,2.4,2.2,2.2,2.3,2.2
4,전 연도 - 소득 1분위,당해 연도 - 소득 5분위,0.7,0.7,0.6,0.7,0.7
5,전 연도 - 소득 1분위,당해 연도 - 소득 분위 계,100.0,100.0,100.0,100.0,100.0
6,전 연도 - 소득 1분위,소득 분위 변동 - 상승,32.4,32.1,32.2,32.9,32.2
7,전 연도 - 소득 1분위,소득 분위 변동 - 유지,67.6,67.9,67.8,67.1,67.8
8,전 연도 - 소득 2분위,당해 연도 - 소득 1분위,21.3,21.2,22.2,21.8,20.9
9,전 연도 - 소득 2분위,당해 연도 - 소득 2분위,48.9,49.3,48.1,49.0,49.8
10,전 연도 - 소득 2분위,당해 연도 - 소득 3분위,21.8,21.3,21.0,20.5,20.7
11,전 연도 - 소득 2분위,당해 연도 - 소득 4분위,6.8,7.1,7.4,7.2,7.3
12,전 연도 - 소득 2분위,당해 연도 - 소득 5분위,1.2,1.1,1.3,1.5,1.3
13,전 연도 - 소득 2분위,당해 연도 - 소득 분위 계,100.0,100.0,100.0,100.0,100.0
14,전 연도 - 소득 2분위,소득 분위 변동 - 상승,29.8,29.5,29.6,29.1,29.3
15,전 연도 - 소득 2분위,소득 분위 변동 - 하락,21.3,21.2,22.2,21.8,20.9
16,전 연도 - 소득 2분위,소득 분위 변동 - 유지,48.9,49.3,48.1,49.0,49.8
17,전 연도 - 소득 3분위,당해 연도 - 소득 1분위,6.6,6.7,7.3,6.8,6.3
18,전 연도 - 소득 3분위,당해 연도 - 소득 2분위,21.9,21.2,20.4,20.6,20.5
19,전 연도 - 소득 3분위,당해 연도 - 소득 3분위,52.5,53.0,53.1,54.1,53.8
20,전 연도 - 소득 3분위,당해 연도 - 소득 4분위,16.7,16.7,16.6,16.0,16.6
21,전 연도 - 소득 3분위,당해 연도 - 소득 5분위,2.3,2.5,2.6,2.6,2.8
22,전 연도 - 소득 3분위,당해 연도 - 소득 분위 계,100.0,100.0,100.0,100.0,100.0
23,전 연도 - 소득 3분위,소득 분위 변동 - 상승,19.0,19.1,19.1,18.6,19.5
24,전 연도 - 소득 3분위,소득 분위 변동 - 하락,28.5,27.9,27.8,27.4,26.7
25,전 연도 - 소득 3분위,소득 분위 변동 - 유지,52.5,53.0,53.1,54.1,53.8
26,전 연도 - 소득 4분위,당해 연도 - 소득 1분위,2.4,2.6,2.8,2.4,2.4
27,전 연도 - 소득 4분위,당해 연도 - 소득 2분위,7.1,7.3,7.6,6.8,6.7
28,전 연도 - 소득 4분위,당해 연도 - 소득 3분위,14.9,14.3,14.8,15.1,15.3
29,전 연도 - 소득 4분위,당해 연도 - 소득 4분위,64.2,64.0,62.7,64.1,63.4
30,전 연도 - 소득 4분위,당해 연도 - 소득 5분위,11.4,11.8,12.1,11.6,12.3
31,전 연도 - 소득 4분위,당해 연도 - 소득 분위 계,100.0,100.0,100.0,100.0,100.0
32,전 연도 - 소득 4분위,소득 분위 변동 - 상승,11.4,11.8,12.1,11.6,12.3
33,전 연도 - 소득 4분위,소득 분위 변동 - 하락,24.4,24.2,25.2,24.3,24.3
34,전 연도 - 소득 4분위,소득 분위 변동 - 유지,64.2,64.0,62.7,64.1,63.4
35,전 연도 - 소득 5분위,당해 연도 - 소득 1분위,0.7,0.8,0.9,0.7,0.8
36,전 연도 - 소득 5분위,당해 연도 - 소득 2분위,1.3,1.4,1.6,1.3,1.4
37,전 연도 - 소득 5분위,당해 연도 - 소득 3분위,2.2,2.2,2.4,2.0,2.1
38,전 연도 - 소득 5분위,당해 연도 - 소득 4분위,8.5,8.1,8.4,8.3,8.5
39,전 연도 - 소득 5분위,당해 연도 - 소득 5분위,87.3,87.5,86.7,87.6,87.3
40,전 연도 - 소득 5분위,당해 연도 - 소득 분위 계,100.0,100.0,100.0,100.0,100.0
41,전 연도 - 소득 5분위,소득 분위 변동 - 하락,12.7,12.5,13.3,12.4,12.7
42,전 연도 - 소득 5분위,소득 분위 변동 - 유지,87.3,87.5,86.7,87.6,87.3
43,전 연도 - 소득 분위 계,당해 연도 - 소득 1분위,98.6,99.2,101.1,98.8,98.1
44,전 연도 - 소득 분위 계,당해 연도 - 소득 2분위,101.1,101.0,100.0,100.2,100.3
45,전 연도 - 소득 분위 계,당해 연도 - 소득 3분위,98.9,98.2,98.5,99.0,99.2
46,전 연도 - 소득 분위 계,당해 연도 - 소득 4분위,98.5,98.1,97.3,97.9,98.0
47,전 연도 - 소득 분위 계,당해 연도 - 소득 5분위,102.9,103.5,103.2,104.0,104.4
48,전 연도 - 소득 분위 계,소득 분위 변동 - 상승,18.1,18.0,18.0,17.8,18.0
49,전 연도 - 소득 분위 계,소득 분위 변동 - 하락,17.2,17.0,17.6,17.0,16.8
50,전 연도 - 소득 분위 계,소득 분위 변동 - 유지,64.7,65.0,64.4,65.2,65.2
