자치구별(1)_자치구별(1)_자치구별(1),자치구별(2)_자치구별(2)_자치구별(2),2023_합계_소계,2023_식품접객업_소계,2023_식품접객업_휴게음식점,2023_식품접객업_일반음식점,2023_식품접객업_제과점,2023_식품접객업_단란주점,2023_식품접객업_유흥주점,2023_식품접객업_위탁급식영업,2023_집단급식소_소계,2023_식품제조업 및 가공업_소계,2023_식품제조업 및 가공업_식품제조가공업,2023_식품제조업 및 가공업_즉석판매제조가공업,2023_식품제조업 및 가공업_식품첨가물 제조업,2023_식품 판매·운반·기타업_소계,2023_식품 판매·운반·기타업_식품운반업,2023_식품 판매·운반·기타업_식품소분·판매업,2023_식품 판매·운반·기타업_용기·포장류제조업,2023_식품 판매·운반·기타업_식품보존업,2023_건강기능식품 제조·수입·판매업_소계,2023_건강기능식품 제조·수입·판매업_건강기능식품제조업,2023_건강기능식품 제조·수입·판매업_건강기능식품판매업
자치구별(1),자치구별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
합계,종로구,11656,9503,1761,7247,136,103,187,69,183,433,20,413,-,706,3,702,1,-,831,-,831
합계,중구,11066,8715,2204,5995,153,60,213,90,196,510,37,473,-,659,9,617,33,-,986,-,986
합계,용산구,7411,5357,1001,4151,102,42,17,44,153,513,40,473,-,481,1,479,1,-,907,-,907
합계,성동구,7458,5322,1067,4034,132,34,22,33,190,602,96,506,-,482,1,467,14,-,862,-,862
합계,광진구,7193,5357,1192,3942,111,70,11,31,158,486,27,459,-,352,8,342,2,-,840,-,840
합계,동대문구,8666,5793,1219,4315,115,67,53,24,192,866,99,767,-,696,12,680,2,2,1119,-,1119
합계,중랑구,6952,5090,999,3857,104,92,17,21,207,544,53,491,-,346,11,335,-,-,765,-,765
합계,성북구,7340,5577,1353,4001,123,47,8,45,255,600,42,558,-,28,2,26,-,-,880,-,880
합계,강북구,6105,4473,774,3442,82,87,65,23,155,509,28,479,2,314,-,314,-,-,654,-,654
합계,도봉구,4754,3153,689,2298,74,45,19,28,188,495,28,467,-,295,5,290,-,-,623,-,623
합계,노원구,8199,5316,1351,3701,156,37,21,50,289,704,21,683,-,562,3,559,-,-,1328,-,1328
합계,은평구,7121,4978,1069,3550,136,117,76,30,251,665,43,622,-,35,2,33,-,-,1192,-,1192
합계,서대문구,6597,4939,1166,3535,127,44,27,40,184,467,39,428,-,284,9,275,-,-,723,-,723
합계,마포구,14555,11096,2150,8504,293,56,45,48,219,980,80,899,1,776,15,761,-,-,1484,-,1484
합계,양천구,6497,4472,1082,3145,145,63,4,33,227,675,33,642,-,56,14,42,-,-,1067,-,1067
합계,강서구,12370,8842,1994,6274,200,160,129,85,387,764,61,701,2,830,44,786,-,-,1547,-,1547
합계,구로구,7619,5552,1157,4137,116,72,32,38,242,459,42,416,1,417,12,405,-,-,949,-,949
합계,금천구,6199,4288,959,3114,71,66,43,35,175,351,97,246,8,473,14,450,8,1,912,-,912
합계,영등포구,13346,9512,2099,6856,205,118,130,104,316,821,72,747,2,761,27,730,4,-,1936,-,1936
합계,동작구,6357,4457,1054,3179,123,33,46,22,197,631,31,599,1,347,3,344,-,-,725,-,725
합계,관악구,8982,6684,1381,4867,144,79,195,18,207,582,33,549,-,454,4,449,1,-,1055,-,1055
합계,서초구,13425,8409,2192,5746,246,80,42,103,310,818,42,775,1,1129,33,1095,1,-,2759,-,2759
합계,강남구,20200,14846,3303,10758,380,173,127,105,388,950,76,873,1,126,14,111,1,-,3890,-,3890
합계,송파구,15892,10408,2535,7304,258,138,87,86,387,1646,234,1411,1,524,96,426,2,-,2927,-,2927
합계,강동구,8566,5714,1343,3976,174,83,103,35,277,701,45,656,-,518,13,505,-,-,1356,-,1356
