,시군구명,시설코드,조성년월,설치대수,데이터 기준일자
0,종로구,301,2015,1,20221109
1,종로구,307,2015,1,20221109
2,종로구,305,2015,1,20221109
3,종로구,302,2015,4,20221109
4,종로구,302,2015,1,20221109
5,종로구,304,2015,1,20221109
6,종로구,305,2015,1,20221109
7,종로구,305,2015,1,20221109
8,종로구,304,2015,1,20221109
9,종로구,307,2015,1,20221109
10,종로구,305,2015,1,20221109
11,종로구,301,2015,1,20221109
12,종로구,305,2015,1,20221109
13,종로구,302,2015,2,20221109
14,종로구,305,2015,1,20221109
15,종로구,304,2015,1,20221109
16,종로구,307,2015,1,20221109
17,종로구,305,2015,1,20221109
18,종로구,305,2015,1,20221109
19,종로구,305,2015,1,20221109
20,종로구,305,2015,1,20221109
21,종로구,301,2015,1,20221109
22,종로구,302,2015,2,20221109
23,종로구,304,2015,1,20221109
24,종로구,307,2015,1,20221109
25,종로구,305,2015,1,20221109
26,종로구,302,2015,2,20221109
27,종로구,305,2015,1,20221109
28,종로구,305,2015,1,20221109
29,종로구,301,2015,1,20221109
30,종로구,302,2015,2,20221109
31,종로구,305,2015,1,20221109
32,종로구,304,2015,1,20221109
33,종로구,304,2015,1,20221109
34,종로구,307,2015,1,20221109
35,종로구,302,2015,2,20221109
36,종로구,305,2015,1,20221109
37,종로구,302,2015,1,20221109
38,종로구,305,2015,1,20221109
39,종로구,302,2015,3,20221109
40,종로구,305,2015,1,20221109
41,종로구,307,2015,1,20221109
42,종로구,305,2015,1,20221109
43,종로구,304,2015,1,20221109
44,종로구,305,2015,1,20221109
45,종로구,307,2015,1,20221109
46,종로구,305,2015,1,20221109
47,종로구,302,2015,2,20221109
48,종로구,301,2015,1,20221109
49,종로구,304,2015,1,20221109
50,종로구,305,2015,1,20221109
51,종로구,304,,1,20221110
52,종로구,305,,1,20221110
53,종로구,307,,1,20221110
54,종로구,305,,1,20221110
55,종로구,305,,1,20221110
56,종로구,305,,1,20221110
57,종로구,305,,1,20221110
58,종로구,304,,1,20221110
59,종로구,302,,1,20221110
60,종로구,305,,1,20221110
61,종로구,302,,1,20221110
62,종로구,301,,1,20221110
63,종로구,305,,1,20221110
64,종로구,305,,2,20221110
65,종로구,305,,1,20221110
66,종로구,305,,1,20221110
67,종로구,305,,1,20221110
68,종로구,305,,1,20221110
69,종로구,302,,1,20221110
70,종로구,305,,2,20221110
71,종로구,305,,1,20221110
72,종로구,307,,1,20221110
73,종로구,305,,1,20221110
74,종로구,304,,1,20221110
75,종로구,305,,1,20221110
76,종로구,305,,1,20221110
77,종로구,305,,1,20221110
78,종로구,307,,1,20221110
79,종로구,304,,1,20221110
80,종로구,302,,1,20221110
81,종로구,301,,1,20221110
82,종로구,305,,1,20221110
83,종로구,305,,1,20221110
84,종로구,305,,1,20221110
85,종로구,305,,1,20221117
86,종로구,302,,1,20221110
87,종로구,301,,1,20221110
88,종로구,305,,1,20221110
89,종로구,304,,1,20221110
90,종로구,305,,1,20221110
91,종로구,307,,1,20221110
92,종로구,305,,1,20221110
93,종로구,304,,1,20221117
94,종로구,307,,1,20221117
95,종로구,305,,1,20221117
96,종로구,301,,1,20221117
97,종로구,302,,1,20221117
98,종로구,305,,1,20221117
99,종로구,307,,1,20221117
100,종로구,305,,1,20221117
101,종로구,305,,1,20221117
102,종로구,305,,1,20221117
103,종로구,301,,1,20221117
104,종로구,307,,1,20221117
105,종로구,302,,1,20221117
106,종로구,305,,1,20221117
107,종로구,304,,1,20221117
108,종로구,305,,1,20221117
109,종로구,305,,1,20221117
110,종로구,307,,1,20221117
111,종로구,304,,1,20221117
112,종로구,305,,1,20221117
113,종로구,305,,1,20221117
114,종로구,305,,1,20221117
115,종로구,302,,1,20221117
116,종로구,301,,1,20221117
117,종로구,307,,1,20221117
118,종로구,305,,2,20221117
119,종로구,304,,1,20221117
120,종로구,304,,1,20221117
121,종로구,307,,1,20221117
122,종로구,305,,1,20221117
123,종로구,305,,1,20221117
124,종로구,301,,1,20221117
125,종로구,307,,1,20221117
126,종로구,305,,1,20221117
127,종로구,302,,1,20221117
128,종로구,304,,1,20221117
129,종로구,305,,1,20221117
130,종로구,305,,1,20221117
131,종로구,305,,1,20221117
132,종로구,304,,1,20221117
133,종로구,307,,1,20221117
134,종로구,305,,1,20221117
135,종로구,304,,1,20221117
136,종로구,307,,1,20221117
137,종로구,305,,1,20221117
138,종로구,307,,1,20221121
139,종로구,305,,1,20221121
140,종로구,304,,1,20221121
141,종로구,301,,1,20221121
142,종로구,302,,2,20221121
143,종로구,304,,1,20221121
144,종로구,307,,1,20221121
145,종로구,302,,3,20221121
146,종로구,301,,1,20221121
147,종로구,304,,1,20221121
148,종로구,307,,1,20221121
149,종로구,305,,1,20221121
150,종로구,305,,1,20221121
151,종로구,305,,1,20221121
152,종로구,304,,1,20221121
153,종로구,307,,1,20221121
154,종로구,305,,1,20221121
155,종로구,305,,1,20221121
156,종로구,304,,1,20221121
157,종로구,307,,1,20221121
158,종로구,305,,1,20221121
159,종로구,305,,2,20221121
160,종로구,304,,1,20221121
161,종로구,307,,1,20221121
162,종로구,305,,1,20221121
163,종로구,305,,1,20221121
164,종로구,304,,1,20221121
165,종로구,302,,2,20221121
166,종로구,305,,1,20221121
167,종로구,301,,1,20221121
168,종로구,307,,1,20221121
169,종로구,305,,1,20221121
170,종로구,304,,1,20221121
171,종로구,301,2015,1,20221111
172,종로구,302,2015,4,20221111
173,종로구,305,2015,1,20221111
174,종로구,304,2015,1,20221111
175,종로구,305,2015,1,20221111
176,종로구,307,2015,1,20221111
177,종로구,305,2015,1,20221111
178,종로구,305,2015,2,20221111
179,종로구,305,2015,1,20221111
180,종로구,304,2015,1,20221111
181,종로구,305,2015,1,20221111
182,종로구,305,2015,1,20221111
183,종로구,307,2015,1,20221111
184,종로구,305,2015,1,20221111
185,종로구,305,2015,1,20221111
186,종로구,302,2015,3,20221111
187,종로구,305,2015,1,20221111
188,종로구,305,2015,1,20221111
189,종로구,305,2015,1,20221111
190,종로구,304,2015,1,20221111
191,종로구,305,2015,1,20221111
192,종로구,305,2015,1,20221111
193,종로구,307,2015,1,20221111
194,종로구,305,2015,1,20221111
195,종로구,304,2015,1,20221111
196,종로구,305,2015,1,20221111
197,종로구,301,2015,1,20221111
198,종로구,302,2015,1,20221111
199,종로구,305,2015,1,20221111
200,종로구,307,2015,1,20221111
201,종로구,305,2015,1,20221111
