,항목,구분,2017,2018,2019,2020,2021,2022,2023
0,발생,강력범,7501,6991,6993,6264,5343,6254,6264
1,발생,절도범,41146,39175,42203,38292,33529,37579,37038
2,발생,폭력범,59399,56075,54723,48344,41756,46783,43132
3,발생,지능범,70764,75826,80710,85968,68314,78566,84182
4,발생,풍속범,1489,1121,1349,1523,1334,939,5100
5,발생,기타형사범,22966,23913,23596,23177,21383,26162,49532
6,발생,특별법범,116912,105900,99694,92609,86308,83224,51965
7,검거,강력범,7063,6598,6491,5907,4838,5745,5850
8,검거,절도범,21408,19762,21284,19705,17950,20205,21600
9,검거,폭력범,51576,48389,47253,41127,35388,39338,37567
10,검거,지능범,44976,46561,47539,48780,36227,38584,42791
11,검거,풍속범,1332,964,1154,1325,1124,760,4107
12,검거,기타형사범,19128,19258,19385,18594,16125,16620,39622
13,검거,특별법범,107585,97759,92254,84245,77487,71288,47234
