날짜,서울 물가지수,,,,평균 물가지수,,
2018.02,98.55,,2018,1087.75,98.89,,
2018.03,98.54,,2019,1192.58,99.38,,
2018.04,98.77,,2020,1199.99,100.00,,
2018.05,98.78,,2021,1225.16,102.0966667,,
2018.06,98.43,,2022,1280.23,106.6858333,,
2018.07,98.39,,2023,1329.54,110.80,,연평균 물가 상승률
2018.08,99.23,,2024,1361.98,113.50,2018,0
2018.09,99.86,,,,,2019 ,0.495
2018.10,99.51,,,,,2020 ,0.618
2018.11,98.98,,,,,2021 ,2.097
2018.12,98.71,,,,,2022 ,4.589
2019.01,98.76,,,,,2023 ,4.109
2019.02,99.26,,,,,2024 ,2.703
2019.03,99.06,,,,,,
2019.04,99.44,,,,,,
2019.05,99.49,,,,,,
2019.06,99.36,,,,,,
2019.07,99.11,,,,,,
2019.08,99.39,,,,,,
2019.09,99.73,,,,,,
2019.10,99.95,,,,,,
2019.11,99.42,,,,,,
2019.12,99.61,,,,,,
2020.01,99.8,,,,,,
2020.02,99.84,,,,,,
2020.03,99.83,,,,,,
2020.04,99.61,,,,,,
2020.05,99.65,,,,,,
2020.06,99.91,,,,,,
2020.07,99.74,,,,,,
2020.08,100.27,,,,,,
2020.09,100.7,,,,,,
2020.10,100.23,,,,,,
2020.11,100.14,,,,,,
2020.12,100.27,,,,,,
2021.01,100.86,,,,,,
2021.02,101.33,,,,,,
2021.03,101.57,,,,,,
2021.04,101.68,,,,,,
2021.05,101.74,,,,,,
2021.06,101.68,,,,,,
2021.07,101.88,,,,,,
2021.08,102.33,,,,,,
2021.09,102.67,,,,,,
2021.10,102.90,,,,,,
2021.11,103.20,,,,,,
2021.12,103.32,,,,,,
2022.01,104.09,,,,,,
2022.02,104.70,,,,,,
2022.03,105.09,,,,,,
2022.04,105.73,,,,,,
2022.05,106.29,,,,,,
2022.06,106.85,,,,,,
2022.07,107.47,,,,,,
2022.08,107.65,,,,,,
2022.09,107.78,,,,,,
2022.10,108.12,,,,,,
2022.11,108.00,,,,,,
2022.12,108.46,,,,,,
2023.01,109.22,,,,,,
2023.02,109.60,,,,,,
2023.03,109.77,,,,,,
2023.04,109.94,,,,,,
2023.05,110.37,,,,,,
2023.06,110.50,,,,,,
2023.07,110.63,,,,,,
2023.08,110.69,,,,,,
2023.09,112.08,,,,,,
2023.10,112.51,,,,,,
2023.11,111.98,,,,,,
2023.12,112.25,,,,,,
2024.01,112.60,,,,,,
2024.02,113.07,,,,,,
2024.03,113.02,,,,,,
2024.04,113.37,,,,,,
2024.05,113.42,,,,,,
2024.06,113.17,,,,,,
2024.07,113.46,,,,,,
2024.08,113.94,,,,,,
2024.09,113.92,,,,,,
2024.10,114.04,,,,,,
2024.11,113.73,,,,,,
2024.12,114.24,,,,,,
