,자치구별,사망자수 총합,남자,여자,소계(10만명당자살률),남자(10만명당자살률),여자(10만명당자살률)
0,종로구,34,20,14,24.5,29.9,19.5
1,중구,35,25,10,29.4,43.3,16.3
2,용산구,46,29,17,21.7,28.4,15.4
3,성동구,64,44,20,23.1,32.7,14.0
4,광진구,91,64,27,27.2,39.8,15.6
5,동대문구,84,62,22,25.0,37.5,12.8
6,중랑구,104,69,35,27.3,36.9,18.0
7,성북구,95,58,37,22.3,28.4,16.7
8,강북구,72,46,26,24.9,32.9,17.5
9,도봉구,85,58,27,27.7,38.9,17.1
10,노원구,120,73,47,24.1,30.5,18.1
11,은평구,107,72,35,23.1,32.6,14.4
12,서대문구,67,43,24,22.1,29.8,15.1
13,마포구,78,40,38,21.6,23.7,19.8
14,양천구,97,63,34,22.3,29.6,15.2
15,강서구,119,70,49,21.1,25.9,16.7
16,구로구,86,59,27,21.9,30.7,13.5
17,금천구,62,49,13,27.3,42.9,11.5
18,영등포구,68,50,18,18.3,27.4,9.5
19,동작구,74,49,25,19.6,26.9,12.8
20,관악구,141,95,46,29.3,39.3,19.2
21,서초구,67,48,19,16.7,25.1,9.0
22,강남구,128,69,59,24.2,27.2,21.3
23,송파구,124,77,47,19.0,24.6,13.9
24,강동구,115,79,36,25.2,35.4,15.4
