접수년월,경찰서명,신고건수전체,신고성별남성,신고성별여성,신고성별불상,신고성별기타,접수긴급유형긴급,접수긴급유형중요,접수긴급유형일반,접수긴급유형민원,접수긴급유형기타,발생요일일요일,발생요일월요일,발생요일화요일,발생요일수요일,발생요일목요일,발생요일금요일,발생요일토요일,발생시간대00,발생시간대01,발생시간대02,발생시간대03,발생시간대04,발생시간대05,발생시간대06,발생시간대07,발생시간대08,발생시간대09,발생시간대10,발생시간대11,발생시간대12,발생시간대13,발생시간대14,발생시간대15,발생시간대16,발생시간대17,발생시간대18,발생시간대19,발생시간대20,발생시간대21,발생시간대22,발생시간대23
202301,서울강동,24,9,10,5,0,0,2,22,0,0,6,4,4,2,4,2,2,1,0,2,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,2,0,3,4,3,3
202301,서울송파,45,36,6,3,0,0,5,40,0,0,6,4,10,6,4,4,11,5,4,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,3,4,2,5,4,7,6
202301,서울서초,23,12,3,8,0,0,1,22,0,0,3,6,1,4,6,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,2,5
202301,서울강북,52,18,18,16,0,0,6,45,1,0,5,5,14,10,5,6,7,0,4,6,3,2,2,5,0,0,0,0,0,2,0,0,3,3,0,2,4,4,3,5,4
202301,서울광진,35,15,9,11,0,0,2,32,1,0,11,6,4,6,4,1,3,4,3,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,3,5,2,2,4,4
202301,서울중랑,42,24,12,6,0,0,2,37,2,1,6,8,4,6,6,6,6,1,1,2,3,1,0,0,0,0,0,0,0,0,1,2,1,0,4,4,6,3,7,4,2
202301,서울종암,27,16,8,3,0,0,2,25,0,0,5,3,6,5,4,1,3,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,2,4,7,0
202301,서울영등포,21,12,3,6,0,0,5,16,0,0,2,3,3,4,4,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,2,3,3,3,3,2,0
202301,서울서부,35,15,6,14,0,0,5,29,1,0,7,9,3,3,4,3,6,2,0,0,5,0,0,0,0,1,1,0,1,0,0,3,4,1,1,5,2,4,1,3,1
202301,서울동대문,14,6,4,4,0,0,0,14,0,0,4,1,2,5,0,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3
202301,서울금천,13,4,5,4,0,0,3,10,0,0,0,4,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4,5,1
202301,서울중부,7,2,0,5,0,0,0,7,0,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,3,0
202301,서울마포,69,27,21,21,0,0,5,62,2,0,6,8,8,10,12,7,18,0,3,4,4,3,0,0,1,0,0,0,0,0,2,1,2,3,6,6,8,11,8,5,2
202301,서울강남,21,13,3,5,0,0,1,18,2,0,4,5,1,2,1,2,6,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,2,5,2
202301,서울은평,23,11,6,6,0,0,3,20,0,0,5,7,4,1,1,2,3,3,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,4,1,0,1,2,3,2,2
202301,서울수서,23,6,5,12,0,0,1,22,0,0,2,3,3,6,4,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,3,2,4,4
202301,서울강서,52,27,13,12,0,0,5,43,4,0,10,8,13,4,4,7,6,3,3,0,2,1,0,0,0,0,1,0,0,0,1,2,2,0,9,2,8,2,7,7,2
202301,서울노원,83,41,29,13,0,0,7,74,2,0,9,22,10,12,5,6,19,1,1,2,2,1,0,0,0,0,0,0,0,0,0,2,13,15,5,5,8,4,9,6,9
202301,서울성동,14,7,4,3,0,0,0,14,0,0,3,1,1,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,3,0,1,2
202301,서울도봉,22,10,8,4,0,1,1,19,1,0,2,1,2,9,5,1,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,3,4,2,1,1,3
202301,서울성북,37,17,19,1,0,0,1,36,0,0,6,4,4,7,4,6,6,3,0,3,0,0,0,0,0,0,0,0,1,0,2,0,3,2,3,2,5,9,1,1,2
202301,서울청,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
202301,서울혜화,7,3,0,4,0,0,0,5,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2
202301,서울방배,3,2,0,1,0,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
202301,서울관악,24,13,9,2,0,0,1,23,0,0,6,4,2,5,1,2,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,2,3,3,2,4
202301,서울용산,6,3,1,2,0,0,2,4,0,0,0,4,0,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
202301,서울서대문,13,10,0,3,0,0,1,11,1,0,0,2,3,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,4,2
202301,서울양천,41,19,10,12,0,0,2,36,3,0,8,5,7,4,3,6,8,4,0,1,2,0,0,0,0,0,0,0,0,2,1,0,3,4,4,1,1,3,6,9,0
202301,서울동작,15,8,2,5,0,0,0,15,0,0,2,2,4,1,2,2,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,1,2,2,1,0
202301,서울구로,24,17,4,3,0,0,3,20,1,0,4,4,3,4,2,4,3,2,1,1,0,0,1,0,0,0,0,1,0,1,2,3,1,0,1,0,3,1,1,4,1
202301,ETC,310,196,84,30,0,2,14,272,9,13,53,57,43,42,44,38,33,22,11,10,8,5,3,3,0,3,2,1,1,2,6,6,14,19,28,17,26,42,28,31,22
202302,서울강북,29,16,8,5,0,0,2,27,0,0,2,7,5,5,4,0,6,0,0,1,0,1,1,0,0,0,0,0,1,1,0,2,1,1,2,4,5,4,3,2,0
202302,서울영등포,22,12,5,5,0,0,1,21,0,0,3,1,4,6,2,2,4,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,3,2,2,2,0
202302,서울광진,26,10,11,5,0,0,1,24,1,0,9,3,3,2,2,5,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,2,4,1,3,1,5,4
202302,서울도봉,29,13,9,7,0,0,1,28,0,0,1,5,3,4,8,6,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,4,3,1,2,4,2,4,2,3
202302,서울송파,52,20,14,18,0,0,1,49,2,0,7,5,9,10,7,8,6,4,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,4,6,1,7,8,8,2,8
202302,서울강동,56,40,5,11,0,0,7,47,2,0,7,6,10,6,7,12,8,3,0,0,0,2,0,0,1,1,0,0,0,2,0,3,1,4,4,4,11,7,5,8,0
