"구분별","피해정도별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2019 년","2020 년","2021 년","2022 년",
"서울시","종합","현대사회 위험요인에 따른 피해정도","","5.84","6.1","6.08","6.08","6.13","6.61","6.74","6.9111405","6.6365128",
"서울시","자연재해","현대사회 위험요인에 따른 피해정도","","5.75","6.2","6.12","6.15","6.1","6.08","6.08","5.996181","6.5092609",
"서울시","교통사고","현대사회 위험요인에 따른 피해정도","","6.09","6.4","","","","","","","",
"서울시","안전사고","현대사회 위험요인에 따른 피해정도","","","","6.16","6.13","6.14","6.25","6.06","6.2248648","6.3963517",
"서울시","실업","현대사회 위험요인에 따른 피해정도","","6.01","6.2","6.14","6.13","6.25","7.52","7.46","7.2962683","6.8120894",
"서울시","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.14","6.5","6.38","6.38","6.34","6.02","5.9","","",
"서울시","감염병","현대사회 위험요인에 따른 피해정도","","5.63","6.3","6.27","6.27","6.23","5.74","7.92","7.7703827","7.424557",
"서울시","부정부패","현대사회 위험요인에 따른 피해정도","","5.57","5.7","5.66","5.65","5.9","7.07","7.06","7.1469026","6.6277754",
"서울시","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.23","6.4","6.36","6.36","6.34","7","6.82","6.9208707","6.5167234",
"서울시","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.62","5.7","5.63","5.64","5.77","6.76","7.17","7.2613695","6.6695096",
"서울시","경제위기","현대사회 위험요인에 따른 피해정도","","6.15","6.2","6.17","6.17","6.2","7.36","7.02","6.9694911","6.9180367",
"서울시","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.5155009","6.4428049",
"서울시","안보","현대사회 위험요인에 따른 피해정도","","","","6.02","6","6.12","6.61","6.22","","",
"서울시","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.65","6","5.94","5.95","5.99","6.25","6.38","","",
"서울시","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","","6.3","","","","","6.85","7.0095731","6.4260004",
"서울시","화재","현대사회 위험요인에 따른 피해정도","","5.59","5.8","","","","","","","",
"서울시","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","5.61","6.1","","","","","","","",
"서울시","성인병","현대사회 위험요인에 따른 피해정도","","5.92","","","","","","","","",
"서울시","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.2585314",
"남자","종합","현대사회 위험요인에 따른 피해정도","","5.82","6.1","6.06","6.05","6.1","6.58","6.71","6.8360763","6.6344312",
"남자","자연재해","현대사회 위험요인에 따른 피해정도","","5.73","6.1","6.09","6.1","5.98","6.06","6.04","5.9282789","6.4812085",
"남자","교통사고","현대사회 위험요인에 따른 피해정도","","6.04","6.3","","","","","","","",
"남자","안전사고","현대사회 위험요인에 따른 피해정도","","","","6.14","6.11","6.07","6.22","6.02","6.1463821","6.3870103",
"남자","실업","현대사회 위험요인에 따른 피해정도","","6","6.2","6.13","6.11","6.27","7.56","7.44","7.260839","6.8219691",
"남자","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.11","6.4","6.39","6.37","6.27","6.01","5.84","","",
"남자","감염병","현대사회 위험요인에 따른 피해정도","","5.59","6.3","6.26","6.25","6.16","5.7","7.83","7.6771278","7.423162",
"남자","부정부패","현대사회 위험요인에 따른 피해정도","","5.55","5.7","5.62","5.62","5.93","7.03","7.09","7.1086471","6.6359853",
"남자","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.2","6.3","6.32","6.3","6.34","6.96","6.74","6.7377517","6.4824183",
"남자","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.62","5.7","5.61","5.61","5.77","6.69","7.15","7.2336192","6.6546965",
"남자","경제위기","현대사회 위험요인에 따른 피해정도","","6.13","6.2","6.17","6.18","6.2","7.36","6.97","6.8985113","6.9300771",
"남자","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.4555034","6.4665561",
"남자","안보","현대사회 위험요인에 따른 피해정도","","","","6.01","5.98","6.1","6.61","6.18","","",
"남자","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.65","5.9","5.96","5.93","6","6.17","6.38","","",
"남자","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","","6.2","","","","","6.81","6.9141027","6.4167716",
"남자","화재","현대사회 위험요인에 따른 피해정도","","5.57","5.7","","","","","","","",
"남자","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","5.56","6.1","","","","","","","",
"남자","성인병","현대사회 위험요인에 따른 피해정도","","5.89","","","","","","","","",
"남자","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.2788881",
"여자","종합","현대사회 위험요인에 따른 피해정도","","5.87","6.2","6.09","6.1","6.15","6.63","6.78","6.9809814","6.6384444",
"여자","자연재해","현대사회 위험요인에 따른 피해정도","","5.77","6.3","6.14","6.2","6.21","6.1","6.11","6.0593583","6.5352915",
"여자","교통사고","현대사회 위험요인에 따른 피해정도","","6.13","6.4","","","","","","","",
"여자","안전사고","현대사회 위험요인에 따른 피해정도","","","","6.17","6.16","6.21","6.28","6.09","6.2978864","6.4050199",
"여자","실업","현대사회 위험요인에 따른 피해정도","","6.01","6.2","6.14","6.14","6.22","7.49","7.48","7.3292323","6.8029218",
"여자","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.18","6.5","6.36","6.4","6.4","6.02","5.95","","",
"여자","감염병","현대사회 위험요인에 따른 피해정도","","5.66","6.4","6.29","6.3","6.29","5.78","8","7.8571486","7.4258514",
"여자","부정부패","현대사회 위험요인에 따른 피해정도","","5.6","5.7","5.69","5.68","5.88","7.1","7.04","7.1824961","6.6201572",
"여자","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.26","6.5","6.39","6.41","6.35","7.05","6.89","7.0912476","6.548556",
"여자","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.62","5.7","5.65","5.67","5.78","6.83","7.18","7.2871888","6.683255",
"여자","경제위기","현대사회 위험요인에 따른 피해정도","","6.18","6.2","6.16","6.17","6.19","7.37","7.07","7.0355318","6.9068641",
"여자","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.5713236","6.4207655",
"여자","안보","현대사회 위험요인에 따른 피해정도","","","","6.03","6.02","6.14","6.61","6.26","","",
"여자","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.64","6","5.92","5.97","5.98","6.33","6.39","","",
"여자","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.6","6.4","","","","","6.88","7.0984002","6.4345641",
"여자","화재","현대사회 위험요인에 따른 피해정도","","5.66","5.8","","","","","","","",
"여자","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","5.95","6.2","","","","","","","",
"여자","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.2396419",
"10대","종합","현대사회 위험요인에 따른 피해정도","","5.88","6.2","6.13","6.2","6.19","","6.66","6.7336264","6.7677553",
"10대","자연재해","현대사회 위험요인에 따른 피해정도","","5.68","6.4","6.12","6.22","6.19","","6.28","5.9228099","6.5706915",
"10대","교통사고","현대사회 위험요인에 따른 피해정도","","6.09","6.4","","","","","","","",
"10대","안전사고","현대사회 위험요인에 따른 피해정도","","","","6.33","6.28","6.34","","6.11","6.1939932","6.5441033",
"10대","실업","현대사회 위험요인에 따른 피해정도","","6.06","6","6.16","6.12","6.16","","7.17","6.7385771","6.7828711",
"10대","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.25","6.7","6.43","6.53","6.51","","6.03","","",
"10대","감염병","현대사회 위험요인에 따른 피해정도","","5.58","6.5","6.25","6.32","6.33","","8.28","7.5706949","7.7421368",
"10대","부정부패","현대사회 위험요인에 따른 피해정도","","5.6","5.5","5.59","5.71","5.89","","6.64","6.7763156","6.6389402",
"10대","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.62","6.9","6.45","6.62","6.59","","6.89","7.0044185","6.7465547",
