"자치구별(1)","자치구별(2)",구분별(1),구분별(2),2021,2022,2023
"합계","소계",다문화가구 (가구),소계,71337,72949,74514
"합계","소계",다문화가구원 (명),소계,187022,190458,194025
"합계","소계",다문화가구원 (명),내국인(출생),101146,103655,106365
"합계","소계",다문화가구원 (명),내국인(귀화·인지),44471,45501,46374
"합계","소계",다문화가구원 (명),외국인(결혼이민자),30984,31692,31555
"합계","소계",다문화가구원 (명),외국인(기타),10421,9610,9731
"합계","종로구",다문화가구 (가구),소계,1160,1178,1208
"합계","종로구",다문화가구원 (명),소계,3057,3067,3095
"합계","종로구",다문화가구원 (명),내국인(출생),1780,1790,1810
"합계","종로구",다문화가구원 (명),내국인(귀화·인지),511,535,540
"합계","종로구",다문화가구원 (명),외국인(결혼이민자),611,612,598
"합계","종로구",다문화가구원 (명),외국인(기타),155,130,147
"합계","중구",다문화가구 (가구),소계,1311,1327,1365
"합계","중구",다문화가구원 (명),소계,3345,3372,3455
"합계","중구",다문화가구원 (명),내국인(출생),1811,1850,1924
"합계","중구",다문화가구원 (명),내국인(귀화·인지),668,672,688
"합계","중구",다문화가구원 (명),외국인(결혼이민자),659,675,660
"합계","중구",다문화가구원 (명),외국인(기타),207,175,183
"합계","용산구",다문화가구 (가구),소계,2148,2259,2256
"합계","용산구",다문화가구원 (명),소계,5731,6020,5998
"합계","용산구",다문화가구원 (명),내국인(출생),3489,3736,3714
"합계","용산구",다문화가구원 (명),내국인(귀화·인지),713,741,770
"합계","용산구",다문화가구원 (명),외국인(결혼이민자),1338,1364,1336
"합계","용산구",다문화가구원 (명),외국인(기타),191,179,178
"합계","성동구",다문화가구 (가구),소계,2140,2156,2120
"합계","성동구",다문화가구원 (명),소계,5671,5730,5625
"합계","성동구",다문화가구원 (명),내국인(출생),3379,3424,3381
"합계","성동구",다문화가구원 (명),내국인(귀화·인지),1028,1063,1059
"합계","성동구",다문화가구원 (명),외국인(결혼이민자),1081,1066,1017
"합계","성동구",다문화가구원 (명),외국인(기타),183,177,168
"합계","광진구",다문화가구 (가구),소계,2715,2703,2745
"합계","광진구",다문화가구원 (명),소계,6635,6623,6742
"합계","광진구",다문화가구원 (명),내국인(출생),3510,3578,3695
"합계","광진구",다문화가구원 (명),내국인(귀화·인지),1732,1723,1724
"합계","광진구",다문화가구원 (명),외국인(결혼이민자),1095,1106,1110
"합계","광진구",다문화가구원 (명),외국인(기타),298,216,213
"합계","동대문구",다문화가구 (가구),소계,2437,2495,2562
"합계","동대문구",다문화가구원 (명),소계,6359,6448,6669
"합계","동대문구",다문화가구원 (명),내국인(출생),3556,3601,3779
"합계","동대문구",다문화가구원 (명),내국인(귀화·인지),1439,1455,1530
"합계","동대문구",다문화가구원 (명),외국인(결혼이민자),1072,1075,1062
"합계","동대문구",다문화가구원 (명),외국인(기타),292,317,298
"합계","중랑구",다문화가구 (가구),소계,2576,2620,2687
"합계","중랑구",다문화가구원 (명),소계,7028,7096,7261
"합계","중랑구",다문화가구원 (명),내국인(출생),4283,4291,4357
"합계","중랑구",다문화가구원 (명),내국인(귀화·인지),1384,1445,1498
"합계","중랑구",다문화가구원 (명),외국인(결혼이민자),1154,1144,1169
"합계","중랑구",다문화가구원 (명),외국인(기타),207,216,237
"합계","성북구",다문화가구 (가구),소계,2293,2376,2428
"합계","성북구",다문화가구원 (명),소계,6472,6682,6829
"합계","성북구",다문화가구원 (명),내국인(출생),4100,4249,4360
"합계","성북구",다문화가구원 (명),내국인(귀화·인지),1102,1133,1156
"합계","성북구",다문화가구원 (명),외국인(결혼이민자),1067,1094,1097
"합계","성북구",다문화가구원 (명),외국인(기타),203,206,216
"합계","강북구",다문화가구 (가구),소계,2022,2062,2117
"합계","강북구",다문화가구원 (명),소계,5595,5675,5797
"합계","강북구",다문화가구원 (명),내국인(출생),3528,3556,3646
"합계","강북구",다문화가구원 (명),내국인(귀화·인지),1076,1113,1135
"합계","강북구",다문화가구원 (명),외국인(결혼이민자),853,853,849
"합계","강북구",다문화가구원 (명),외국인(기타),138,153,167
"합계","도봉구",다문화가구 (가구),소계,1602,1646,1683
"합계","도봉구",다문화가구원 (명),소계,4632,4695,4767
"합계","도봉구",다문화가구원 (명),내국인(출생),2985,3038,3051
"합계","도봉구",다문화가구원 (명),내국인(귀화·인지),807,850,901
"합계","도봉구",다문화가구원 (명),외국인(결혼이민자),691,662,674
"합계","도봉구",다문화가구원 (명),외국인(기타),149,145,141
"합계","노원구",다문화가구 (가구),소계,1987,2071,2125
"합계","노원구",다문화가구원 (명),소계,5924,6097,6233
"합계","노원구",다문화가구원 (명),내국인(출생),3974,4081,4193
"합계","노원구",다문화가구원 (명),내국인(귀화·인지),846,908,930
"합계","노원구",다문화가구원 (명),외국인(결혼이민자),960,948,950
"합계","노원구",다문화가구원 (명),외국인(기타),144,160,160
"합계","은평구",다문화가구 (가구),소계,2850,2933,3020
"합계","은평구",다문화가구원 (명),소계,8250,8423,8616
"합계","은평구",다문화가구원 (명),내국인(출생),5164,5275,5404
"합계","은평구",다문화가구원 (명),내국인(귀화·인지),1512,1584,1653
"합계","은평구",다문화가구원 (명),외국인(결혼이민자),1302,1301,1298
"합계","은평구",다문화가구원 (명),외국인(기타),272,263,261
"합계","서대문구",다문화가구 (가구),소계,1907,2014,2134
"합계","서대문구",다문화가구원 (명),소계,5286,5605,5868
"합계","서대문구",다문화가구원 (명),내국인(출생),3244,3485,3662
"합계","서대문구",다문화가구원 (명),내국인(귀화·인지),919,966,1019
"합계","서대문구",다문화가구원 (명),외국인(결혼이민자),948,987,991
"합계","서대문구",다문화가구원 (명),외국인(기타),175,167,196
"합계","마포구",다문화가구 (가구),소계,2224,2342,2375
"합계","마포구",다문화가구원 (명),소계,6042,6354,6386
"합계","마포구",다문화가구원 (명),내국인(출생),3766,3935,3957
"합계","마포구",다문화가구원 (명),내국인(귀화·인지),905,949,1002
"합계","마포구",다문화가구원 (명),외국인(결혼이민자),1210,1284,1229
"합계","마포구",다문화가구원 (명),외국인(기타),161,186,198
"합계","양천구",다문화가구 (가구),소계,2564,2619,2681
"합계","양천구",다문화가구원 (명),소계,7141,7289,7385
"합계","양천구",다문화가구원 (명),내국인(출생),4190,4301,4343
"합계","양천구",다문화가구원 (명),내국인(귀화·인지),1575,1648,1691
"합계","양천구",다문화가구원 (명),외국인(결혼이민자),1111,1090,1076
"합계","양천구",다문화가구원 (명),외국인(기타),265,250,275
"합계","강서구",다문화가구 (가구),소계,3863,3924,3976
"합계","강서구",다문화가구원 (명),소계,10469,10460,10590
"합계","강서구",다문화가구원 (명),내국인(출생),6086,6012,6156
"합계","강서구",다문화가구원 (명),내국인(귀화·인지),2273,2347,2401
"합계","강서구",다문화가구원 (명),외국인(결혼이민자),1692,1701,1644
"합계","강서구",다문화가구원 (명),외국인(기타),418,400,389
