"자치구별(1)","성별(1)",2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4
"자치구별(1)","성별(1)",합계,0세,1세,2세,3세,4세,5세,6세,7세,8세,9세,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세,81세,82세,83세,84세,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상+
"합계","합계",9335734,40432,37092,39575,41936,42838,45904,49637,53388,60097,66052,66814,65946,73421,71904,73644,69147,71887,78482,75604,76748,85616,93886,97612,111384,135029,141747,147428,157879,161062,166041,167589,163698,165350,159308,142664,135969,133071,126629,125210,125954,123977,136717,144004,149715,146846,147463,130753,132717,131778,135026,144222,152055,153832,160416,160572,153851,152680,139214,132190,135339,136560,127213,137712,137660,149005,141666,130247,127320,117566,116536,115843,91754,95838,76274,72808,76563,73382,73204,68492,50082,51550,47266,54529,47524,36018,33027,28976,23773,20364,16951,13430,10166,7861,5973,4303,3532,2592,1807,1185,635,1506
"합계","남자",4504618,20695,19080,20051,21610,21950,23837,25816,27198,30694,33650,34109,34074,37564,37005,37821,35490,36683,40456,38283,37980,40685,44090,45692,51549,62192,65588,68874,73789,76706,80661,83336,82000,83156,79817,71847,68789,66641,63184,61880,62740,61643,68243,71167,74341,72949,72592,64257,64721,65251,66258,71488,74172,75963,79718,79062,76081,74763,67302,65567,66088,66320,61788,67144,65984,69807,66226,61134,59819,54169,53710,53165,41896,43955,34782,33138,34263,32813,32373,30246,21790,22421,20012,23572,20134,14749,13093,10999,8827,7059,5751,4208,3000,2240,1537,1035,845,642,391,234,115,344
"합계","여자",4831116,19737,18012,19524,20326,20888,22067,23821,26190,29403,32402,32705,31872,35857,34899,35823,33657,35204,38026,37321,38768,44931,49796,51920,59835,72837,76159,78554,84090,84356,85380,84253,81698,82194,79491,70817,67180,66430,63445,63330,63214,62334,68474,72837,75374,73897,74871,66496,67996,66527,68768,72734,77883,77869,80698,81510,77770,77917,71912,66623,69251,70240,65425,70568,71676,79198,75440,69113,67501,63397,62826,62678,49858,51883,41492,39670,42300,40569,40831,38246,28292,29129,27254,30957,27390,21269,19934,17977,14946,13305,11200,9222,7166,5621,4436,3268,2687,1950,1416,951,520,1162
"종로구","합계",138184,425,395,440,467,476,524,521,599,703,805,796,797,972,870,959,849,967,1086,1066,1108,1334,1500,1602,1838,2234,2409,2446,2439,2532,2451,2427,2352,2360,2209,1978,1783,1700,1676,1588,1630,1606,1814,1900,1985,2004,1966,1762,1749,1823,1808,2064,2270,2289,2519,2601,2425,2446,2305,2189,2166,2209,2115,2289,2231,2401,2135,1989,1940,1851,1805,1781,1319,1469,1138,1018,1192,1099,1212,1093,845,942,815,980,877,702,676,608,482,434,342,292,230,180,131,98,59,73,34,37,14,43
"종로구","남자",66450,233,204,220,245,237,274,256,295,355,401,390,372,476,416,485,427,474,554,517,513,592,662,705,862,1026,1119,1128,1142,1294,1203,1234,1217,1184,1125,1008,899,859,810,718,801,795,927,922,955,923,964,842,789,878,887,1003,1098,1084,1312,1296,1211,1188,1104,1099,1078,1090,1079,1200,1159,1118,1060,995,990,883,893,865,645,711,538,445,532,485,542,468,346,392,322,425,330,292,258,246,183,164,127,94,86,59,47,30,14,17,3,12,4,14
"종로구","여자",71734,192,191,220,222,239,250,265,304,348,404,406,425,496,454,474,422,493,532,549,595,742,838,897,976,1208,1290,1318,1297,1238,1248,1193,1135,1176,1084,970,884,841,866,870,829,811,887,978,1030,1081,1002,920,960,945,921,1061,1172,1205,1207,1305,1214,1258,1201,1090,1088,1119,1036,1089,1072,1283,1075,994,950,968,912,916,674,758,600,573,660,614,670,625,499,550,493,555,547,410,418,362,299,270,215,198,144,121,84,68,45,56,31,25,10,29
"중구","합계",119850,572,436,484,502,518,492,490,516,581,593,534,568,537,552,556,522,550,675,669,746,917,1060,1112,1415,1698,1805,1927,2097,2185,2299,2405,2445,2494,2403,2145,2081,2036,1856,1767,1771,1643,1786,1793,1788,1741,1726,1417,1479,1454,1462,1623,1742,1788,1946,1980,2008,1989,1838,1711,1777,1850,1818,1876,1828,2109,1848,1819,1772,1680,1620,1669,1249,1264,1050,1029,1059,1043,1044,970,743,788,753,829,797,588,558,480,368,361,312,230,198,141,105,82,71,51,44,25,6,21
"중구","남자",57734,300,235,243,242,267,260,249,253,292,313,265,286,282,276,280,277,274,304,350,351,407,444,530,648,774,807,818,894,994,1071,1207,1143,1234,1193,1060,1086,1032,932,922,894,817,911,891,897,895,875,729,737,716,774,820,843,866,984,968,1020,993,944,914,897,892,917,956,924,1028,940,869,879,833,793,813,573,582,496,486,480,487,454,390,293,326,309,338,311,232,208,174,113,116,88,65,45,36,32,20,16,19,9,3,2,7
"중구","여자",62116,272,201,241,260,251,232,241,263,289,280,269,282,255,276,276,245,276,371,319,395,510,616,582,767,924,998,1109,1203,1191,1228,1198,1302,1260,1210,1085,995,1004,924,845,877,826,875,902,891,846,851,688,742,738,688,803,899,922,962,1012,988,996,894,797,880,958,901,920,904,1081,908,950,893,847,827,856,676,682,554,543,579,556,590,580,450,462,444,491,486,356,350,306,255,245,224,165,153,105,73,62,55,32,35,22,4,14
"용산구","합계",203405,1007,848,954,936,962,1039,987,1040,1123,1234,1191,1189,1248,1247,1269,1216,1282,1402,1403,1393,1814,1819,1957,2243,2650,2925,3096,3366,3739,3973,4177,4104,4332,4073,3805,3600,3336,3143,3024,3135,2913,3060,3209,3216,3178,3070,2525,2748,2577,2759,3010,3050,3360,3583,3629,3456,3361,3182,2851,3036,2987,2956,3019,3032,3099,2989,2717,2705,2489,2413,2220,1954,1800,1455,1467,1498,1489,1477,1311,1076,1108,1012,1224,1111,866,822,754,711,582,463,372,304,205,205,122,104,77,50,33,19,54
"용산구","남자",97137,505,426,474,491,507,534,495,514,561,637,603,591,676,650,667,634,642,695,715,636,841,762,870,957,1177,1283,1440,1516,1750,1874,1989,1992,2128,2024,1869,1795,1677,1511,1466,1554,1478,1564,1589,1649,1615,1485,1222,1349,1211,1352,1437,1459,1562,1711,1759,1693,1658,1554,1434,1472,1497,1465,1487,1533,1492,1441,1307,1323,1205,1154,1070,912,810,660,670,665,690,606,556,442,431,403,504,436,358,279,284,235,198,149,133,93,69,58,42,35,23,11,7,5,18
"용산구","여자",106268,502,422,480,445,455,505,492,526,562,597,588,598,572,597,602,582,640,707,688,757,973,1057,1087,1286,1473,1642,1656,1850,1989,2099,2188,2112,2204,2049,1936,1805,1659,1632,1558,1581,1435,1496,1620,1567,1563,1585,1303,1399,1366,1407,1573,1591,1798,1872,1870,1763,1703,1628,1417,1564,1490,1491,1532,1499,1607,1548,1410,1382,1284,1259,1150,1042,990,795,797,833,799,871,755,634,677,609,720,675,508,543,470,476,384,314,239,211,136,147,80,69,54,39,26,14,36
"성동구","합계",273523,1616,1383,1438,1593,1500,1575,1538,1616,1765,1684,1782,1597,1694,1603,1572,1514,1690,1864,1957,2237,2520,2824,2995,3379,4215,4346,4311,4653,4555,4834,4960,4926,5159,5041,4692,4532,4474,4300,4228,4163,4048,4261,4388,4375,4150,4022,3486,3571,3615,3636,3930,4301,4331,4642,4773,4644,4557,4248,3840,4128,4069,3800,4115,4164,4427,4038,3746,3602,3352,3137,3130,2488,2510,2004,2023,2112,1927,2012,1955,1430,1464,1422,1641,1365,1080,989,850,757,652,502,398,281,238,160,116,97,74,44,34,12,35
"성동구","남자",132223,821,697,767,804,809,837,784,837,936,837,911,806,818,797,785,778,824,911,943,1087,1159,1232,1380,1586,2093,2163,2115,2169,2259,2384,2434,2384,2508,2453,2342,2218,2140,2090,2114,2095,2018,2185,2270,2240,2076,2003,1722,1690,1836,1766,1828,2084,2137,2215,2335,2311,2220,2098,1992,2009,2016,1908,2029,2070,2205,1945,1887,1716,1571,1491,1459,1160,1186,911,900,972,826,894,810,560,644,574,688,548,402,388,296,263,205,153,112,92,61,35,25,26,22,11,7,2,11
"성동구","여자",141300,795,686,671,789,691,738,754,779,829,847,871,791,876,806,787,736,866,953,1014,1150,1361,1592,1615,1793,2122,2183,2196,2484,2296,2450,2526,2542,2651,2588,2350,2314,2334,2210,2114,2068,2030,2076,2118,2135,2074,2019,1764,1881,1779,1870,2102,2217,2194,2427,2438,2333,2337,2150,1848,2119,2053,1892,2086,2094,2222,2093,1859,1886,1781,1646,1671,1328,1324,1093,1123,1140,1101,1118,1145,870,820,848,953,817,678,601,554,494,447,349,286,189,177,125,91,71,52,33,27,10,24
"광진구","합계",331934,1189,1062,1091,1201,1240,1341,1497,1484,1784,1974,1971,2105,2236,2237,2264,2200,2275,2607,2503,2607,3175,3669,4025,4697,6061,6427,6863,7045,7258,7340,7192,6895,6703,6164,5406,5102,4844,4523,4324,4541,4145,4615,4878,4994,4884,4887,4373,4469,4407,4539,4811,5133,5260,5555,5591,5406,5406,5097,4857,4877,4883,4502,4951,4813,5198,4948,4556,4278,3933,3894,3733,2957,3156,2431,2274,2355,2369,2390,2124,1566,1672,1511,1735,1539,1181,1077,942,769,654,542,458,341,232,198,114,114,78,65,25,21,49
"광진구","남자",159056,606,531,554,620,614,683,742,782,903,1027,1002,1121,1119,1132,1146,1161,1147,1307,1209,1265,1391,1632,1805,2184,2751,2983,3197,3224,3382,3497,3497,3420,3344,3108,2798,2559,2429,2228,2118,2235,2016,2227,2400,2429,2357,2382,2150,2229,2127,2251,2332,2512,2570,2730,2705,2526,2670,2427,2364,2355,2430,2221,2468,2316,2485,2317,2116,2067,1802,1790,1753,1376,1439,1067,1054,1079,1062,1042,979,685,766,617,764,626,510,449,380,303,221,164,142,106,78,51,30,28,19,17,7,3,15
"광진구","여자",172878,583,531,537,581,626,658,755,702,881,947,969,984,1117,1105,1118,1039,1128,1300,1294,1342,1784,2037,2220,2513,3310,3444,3666,3821,3876,3843,3695,3475,3359,3056,2608,2543,2415,2295,2206,2306,2129,2388,2478,2565,2527,2505,2223,2240,2280,2288,2479,2621,2690,2825,2886,2880,2736,2670,2493,2522,2453,2281,2483,2497,2713,2631,2440,2211,2131,2104,1980,1581,1717,1364,1220,1276,1307,1348,1145,881,906,894,971,913,671,628,562,466,433,378,316,235,154,147,84,86,59,48,18,18,34
"동대문구","합계",342223,1513,1449,1577,1532,1653,1761,1747,1888,2007,2196,2150,2047,2242,2142,2162,2076,2160,2397,2499,3163,3779,4377,4938,5650,6572,6279,6154,6227,5863,5933,5968,5676,5711,5512,5039,4853,4761,4529,4612,4350,4496,4895,5156,5255,5067,4880,4459,4434,4378,4497,4938,5123,5402,5551,5648,5502,5448,4917,4893,4939,4939,4579,4912,5127,5456,5222,4814,4765,4357,4331,4316,3360,3612,2866,2724,2751,2816,2852,2620,2062,2061,1954,2292,1933,1526,1326,1173,957,841,655,558,394,298,207,155,130,95,57,39,18,51
"동대문구","남자",167280,799,774,770,797,826,849,859,978,1017,1117,1098,1042,1149,1101,1136,1049,1057,1248,1251,1480,1622,1819,2129,2603,3120,3052,3047,3019,2900,2945,3031,2916,2922,2839,2559,2476,2419,2386,2361,2203,2280,2560,2622,2666,2659,2519,2270,2278,2217,2330,2513,2583,2706,2825,2793,2784,2704,2464,2540,2471,2516,2287,2461,2525,2673,2466,2368,2258,2074,2097,2002,1600,1679,1271,1280,1270,1196,1234,1117,889,855,784,978,803,619,521,426,365,304,238,178,115,93,51,44,36,27,11,3,5,12
"동대문구","여자",174943,714,675,807,735,827,912,888,910,990,1079,1052,1005,1093,1041,1026,1027,1103,1149,1248,1683,2157,2558,2809,3047,3452,3227,3107,3208,2963,2988,2937,2760,2789,2673,2480,2377,2342,2143,2251,2147,2216,2335,2534,2589,2408,2361,2189,2156,2161,2167,2425,2540,2696,2726,2855,2718,2744,2453,2353,2468,2423,2292,2451,2602,2783,2756,2446,2507,2283,2234,2314,1760,1933,1595,1444,1481,1620,1618,1503,1173,1206,1170,1314,1130,907,805,747,592,537,417,380,279,205,156,111,94,68,46,36,13,39
"중랑구","합계",378067,1609,1526,1625,1566,1455,1652,1739,1840,2056,2210,2089,2180,2329,2307,2295,2200,2334,2487,2560,2417,2810,3159,3278,3845,4733,5023,5303,5920,6196,6497,6824,6701,6791,6508,5669,5383,5371,5028,4886,4937,4806,5087,5449,5665,5555,5586,4797,4823,4665,4945,5364,5875,5991,6418,6649,6569,6889,6481,6336,6455,6545,6091,6830,6884,7294,7024,6206,6085,5597,5433,5526,4244,4374,3505,3264,3458,3313,3232,3078,2207,2301,2119,2456,2236,1553,1503,1258,989,867,684,557,420,345,228,185,128,102,74,43,21,65
"중랑구","남자",184934,831,783,788,762,759,856,895,896,1068,1146,1079,1130,1207,1197,1146,1146,1138,1283,1359,1222,1331,1507,1545,1820,2191,2311,2510,2843,2899,3165,3414,3341,3437,3316,2873,2821,2815,2603,2529,2520,2472,2678,2794,2972,2908,2966,2478,2539,2437,2505,2755,2931,2981,3202,3312,3253,3288,3078,3134,3209,3226,2948,3363,3376,3480,3407,2986,2977,2636,2572,2654,1957,2070,1637,1509,1544,1480,1430,1337,957,968,902,1014,959,632,585,485,377,317,224,157,122,96,48,36,28,18,17,13,3,13
