ACPT_YM,PLCST_NM,RPRT_CASCNT_WHOL,RPRT_SEX_MALE,RPRT_SEX_FMLE,RPRT_SEX_UNKWN,RPRT_SEX_ETC,ACPT_EMERG_TYPE_EMERG,ACPT_EMERG_TYPE_IMPRTNC,ACPT_EMERG_TYPE_GNRL,ACPT_EMERG_TYPE_CVAPP,ACPT_EMERG_TYPE_ETC,OCRN_DOTW_SNDD,OCRN_DOTW_MON,OCRN_DOTW_TUE,OCRN_DOTW_WED,OCRN_DOTW_THU,OCRN_DOTW_FRI,OCRN_DOTW_SAT,OCRN_TIZN_00,OCRN_TIZN_01,OCRN_TIZN_02,OCRN_TIZN_03,OCRN_TIZN_04,OCRN_TIZN_05,OCRN_TIZN_06,OCRN_TIZN_07,OCRN_TIZN_08,OCRN_TIZN_09,OCRN_TIZN_10,OCRN_TIZN_11,OCRN_TIZN_12,OCRN_TIZN_13,OCRN_TIZN_14,OCRN_TIZN_15,OCRN_TIZN_16,OCRN_TIZN_17,OCRN_TIZN_18,OCRN_TIZN_19,OCRN_TIZN_20,OCRN_TIZN_21,OCRN_TIZN_22,OCRN_TIZN_23
"202301","서울강동","24","9","10","5","0","0","2","22","0","0","6","4","4","2","4","2","2","1","0","2","1","0","0","0","0","1","0","0","1","0","1","0","0","1","1","2","0","3","4","3","3"
"202301","김해중부","29","14","11","4","0","0","0","27","1","1","4","7","4","4","3","4","3","4","2","1","3","2","0","0","0","0","0","0","0","1","0","0","3","0","3","2","2","2","2","0","2"
"202301","서울송파","45","36","6","3","0","0","5","40","0","0","6","4","10","6","4","4","11","5","4","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","3","4","2","5","4","7","6"
"202301","인천계양","19","9","6","4","0","0","1","18","0","0","5","0","5","2","6","0","1","4","1","2","0","0","1","0","2","0","0","0","0","1","0","0","1","1","1","0","1","1","0","1","2"
"202301","대구강북","23","12","9","2","0","0","2","21","0","0","4","1","5","3","3","3","4","2","1","1","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","2","3","3","3","3","2"
"202301","천안동남","21","11","6","4","0","0","0","19","2","0","3","4","4","0","1","6","3","1","1","2","1","0","0","0","0","0","0","0","0","1","1","1","2","0","3","2","0","0","2","0","4"
"202301","함양","2","0","2","0","0","0","0","2","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"202301","대전중부","18","9","5","4","0","0","0","15","3","0","1","6","2","2","1","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","2","0","2","2","0","1","1","3"
"202301","대전둔산","19","10","4","5","0","0","0","17","2","0","4","1","4","2","2","3","3","3","1","1","2","0","0","0","0","0","0","1","2","0","0","0","2","1","0","2","0","0","3","0","1"
"202301","진천","6","2","2","2","0","0","0","6","0","0","2","1","1","1","1","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
