"자치구별(1)",자치구별(2),2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.3/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4,2023.4/4
"자치구별(1)",자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)",자치구별(2),소계,소계,소계,한국계 중국인,한국계 중국인,한국계 중국인,중국,중국,중국,미국,미국,미국,타이완,타이완,타이완,일본,일본,일본,베트남,베트남,베트남,몽골,몽골,몽골,필리핀,필리핀,필리핀,캐나다,캐나다,캐나다,인도,인도,인도,우즈베키스탄,우즈베키스탄,우즈베키스탄,영국,영국,영국,프랑스,프랑스,프랑스,타이,타이,타이,러시아(연방),러시아(연방),러시아(연방),독일,독일,독일,오스트레일리아,오스트레일리아,오스트레일리아,네팔,네팔,네팔,파키스탄,파키스탄,파키스탄,인도네시아,인도네시아,인도네시아,나이지리아,나이지리아,나이지리아,말레이시아,말레이시아,말레이시아,방글라데시,방글라데시,방글라데시,캄 보 디 아,캄 보 디 아,캄 보 디 아,사우디아라비아,사우디아라비아,사우디아라비아,홍       콩,홍       콩,홍       콩,뉴질랜드,뉴질랜드,뉴질랜드,카자흐스탄,카자흐스탄,카자흐스탄,스 리 랑 카,스 리 랑 카,스 리 랑 카,남아프리카 공화국,남아프리카 공화국,남아프리카 공화국,미  얀  마,미  얀  마,미  얀  마,싱 가 포 르,싱 가 포 르,싱 가 포 르,이       란,이       란,이       란,브  라  질,브  라  질,브  라  질,아 일 랜 드,아 일 랜 드,아 일 랜 드,스  웨  덴,스  웨  덴,스  웨  덴,이 탈 리 아,이 탈 리 아,이 탈 리 아,튀 르 키 예,튀 르 키 예,튀 르 키 예,네 덜 란 드,네 덜 란 드,네 덜 란 드,키르기스스탄,키르기스스탄,키르기스스탄,멕  시  코,멕  시  코,멕  시  코,스  페  인,스  페  인,스  페  인,우크라이나,우크라이나,우크라이나,스  위  스,스  위  스,스  위  스,핀  란  드,핀  란  드,핀  란  드,가       나,가       나,가       나,벨  기  에,벨  기  에,벨  기  에,폴  란  드,폴  란  드,폴  란  드,이  집  트,이  집  트,이  집  트,오스트리아,오스트리아,오스트리아,수       단,수       단,수       단,아르헨티나,아르헨티나,아르헨티나,오       만,오       만,오       만,이 스 라 엘,이 스 라 엘,이 스 라 엘,페       루,페       루,페       루,덴  마  크,덴  마  크,덴  마  크,모  로  코,모  로  코,모  로  코,이  라  크,이  라  크,이  라  크,기       타,기       타,기       타,소계,소계,소계,한국계 중국인,한국계 중국인,한국계 중국인,중국,중국,중국,미국,미국,미국,타이완,타이완,타이완,일본,일본,일본,베트남,베트남,베트남,몽골,몽골,몽골,필리핀,필리핀,필리핀,캐나다,캐나다,캐나다,인도,인도,인도,우즈베키스탄,우즈베키스탄,우즈베키스탄,영국,영국,영국,프랑스,프랑스,프랑스,타이,타이,타이,러시아(연방),러시아(연방),러시아(연방),독일,독일,독일,오스트레일리아,오스트레일리아,오스트레일리아,네팔,네팔,네팔,파키스탄,파키스탄,파키스탄,인도네시아,인도네시아,인도네시아,나이지리아,나이지리아,나이지리아,말레이시아,말레이시아,말레이시아,방글라데시,방글라데시,방글라데시,캄 보 디 아,캄 보 디 아,캄 보 디 아,사우디아라비아,사우디아라비아,사우디아라비아,홍       콩,홍       콩,홍       콩,뉴질랜드,뉴질랜드,뉴질랜드,카자흐스탄,카자흐스탄,카자흐스탄,스 리 랑 카,스 리 랑 카,스 리 랑 카,남아프리카 공화국,남아프리카 공화국,남아프리카 공화국,미  얀  마,미  얀  마,미  얀  마,싱 가 포 르,싱 가 포 르,싱 가 포 르,이       란,이       란,이       란,브  라  질,브  라  질,브  라  질,아 일 랜 드,아 일 랜 드,아 일 랜 드,스  웨  덴,스  웨  덴,스  웨  덴,이 탈 리 아,이 탈 리 아,이 탈 리 아,튀 르 키 예,튀 르 키 예,튀 르 키 예,네 덜 란 드,네 덜 란 드,네 덜 란 드,키르기스스탄,키르기스스탄,키르기스스탄,멕  시  코,멕  시  코,멕  시  코,스  페  인,스  페  인,스  페  인,우크라이나,우크라이나,우크라이나,스  위  스,스  위  스,스  위  스,핀  란  드,핀  란  드,핀  란  드,가       나,가       나,가       나,벨  기  에,벨  기  에,벨  기  에,폴  란  드,폴  란  드,폴  란  드,이  집  트,이  집  트,이  집  트,오스트리아,오스트리아,오스트리아,수       단,수       단,수       단,아르헨티나,아르헨티나,아르헨티나,오       만,오       만,오       만,이 스 라 엘,이 스 라 엘,이 스 라 엘,페       루,페       루,페       루,덴  마  크,덴  마  크,덴  마  크,모  로  코,모  로  코,모  로  코,이  라  크,이  라  크,이  라  크,기       타,기       타,기       타
"자치구별(1)",자치구별(2),계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
"합계",소계,248378,107958,140420,69672,37916,31756,61786,21288,40498,11088,5423,5665,7790,3289,4501,10124,2313,7811,23201,8323,14878,8784,3364,5420,3497,953,2544,1632,963,669,2819,1630,1189,3204,2054,1150,2064,1095,969,3304,1519,1785,2512,774,1738,3184,927,2257,1960,852,1108,876,496,380,2048,1260,788,1424,979,445,1823,624,1199,652,475,177,1797,861,936,801,583,218,982,525,457,561,305,256,1367,267,1100,252,162,90,1242,436,806,342,233,109,489,223,266,1939,914,1025,487,164,323,516,227,289,445,181,264,241,142,99,343,144,199,698,290,408,774,354,420,470,219,251,414,132,282,370,127,243,666,288,378,422,103,319,199,101,98,184,68,116,222,164,58,273,128,145,257,72,185,503,360,143,149,59,90,95,53,42,96,40,56,43,20,23,132,56,76,201,75,126,248,117,131,438,168,270,129,68,61,6147,3012,3135,252765,109415,143350,70051,38098,31953,63160,21900,41260,10974,5377,5597,7801,3267,4534,10275,2301,7974,23705,8423,15282,9187,3538,5649,3500,936,2564,1634,962,672,2866,1644,1222,3418,2185,1233,2139,1110,1029,3492,1593,1899,2606,835,1771,3274,881,2393,2084,876,1208,825,481,344,2291,1382,909,1426,971,455,1902,652,1250,622,451,171,1797,858,939,846,614,232,966,528,438,649,350,299,1397,274,1123,249,155,94,1360,456,904,325,218,107,503,225,278,2156,971,1185,481,171,310,515,228,287,453,180,273,246,144,102,380,157,223,730,287,443,849,367,482,496,228,268,435,143,292,381,133,248,712,281,431,408,95,313,210,110,100,160,65,95,209,156,53,306,128,178,276,78,198,499,353,146,155,60,95,86,49,37,120,52,68,44,21,23,138,54,84,195,72,123,250,119,131,437,166,271,123,65,58,5991,2941,3050
"합계",종로구,11182,4597,6585,849,415,434,3985,1095,2890,986,526,460,273,84,189,378,157,221,2001,971,1030,86,32,54,81,22,59,41,24,17,39,22,17,71,41,30,99,68,31,157,73,84,38,6,32,106,44,62,72,31,41,133,69,64,761,459,302,20,15,5,49,15,34,2,1,1,34,13,21,6,3,3,10,2,8,14,8,6,39,5,34,4,4,-,27,13,14,12,5,7,2,2,-,71,48,23,29,11,18,5,4,1,55,26,29,14,9,5,9,-,9,30,15,15,20,5,15,30,11,19,3,1,2,24,9,15,37,17,20,5,1,4,23,17,6,14,3,11,3,2,1,13,7,6,20,8,12,9,6,3,15,7,8,-,-,-,-,-,-,17,8,9,40,18,22,4,2,2,15,5,10,7,3,4,-,-,-,295,129,166,11036,4584,6452,836,404,432,3959,1122,2837,961,514,447,267,79,188,350,136,214,1951,946,1005,92,34,58,80,22,58,42,25,17,43,28,15,71,40,31,102,67,35,170,81,89,43,7,36,101,39,62,74,38,36,103,57,46,847,506,341,22,17,5,52,15,37,1,1,-,37,18,19,4,2,2,9,1,8,19,11,8,38,5,33,4,3,1,33,17,16,10,5,5,2,2,-,74,54,20,24,10,14,6,4,2,44,20,24,12,8,4,11,-,11,25,14,11,17,3,14,36,17,19,5,2,3,23,10,13,33,14,19,7,2,5,24,16,8,10,3,7,6,5,1,15,5,10,17,6,11,8,6,2,10,5,5,-,-,-,-,-,-,15,8,7,39,18,21,3,2,1,9,5,4,6,2,4,-,-,-,234,103,131
"합계",중구,10420,4873,5547,1066,537,529,2976,1251,1725,294,173,121,561,253,308,271,115,156,1502,682,820,274,117,157,110,32,78,105,62,43,153,87,66,394,218,176,124,65,59,116,59,57,42,8,34,755,351,404,186,90,96,39,21,18,22,13,9,47,41,6,35,12,23,3,2,1,38,23,15,6,4,2,19,11,8,24,14,10,69,18,51,20,12,8,232,128,104,29,22,7,4,2,2,27,11,16,31,11,20,8,4,4,9,7,2,6,4,2,27,10,17,44,17,27,28,15,13,21,12,9,21,12,9,12,3,9,35,20,15,26,9,17,5,2,3,11,4,7,11,9,2,7,4,3,23,7,16,20,14,6,15,6,9,1,-,1,3,1,2,1,-,1,5,1,4,30,17,13,37,19,18,16,12,4,-,-,-,424,219,205,10481,4836,5645,1064,531,533,3045,1278,1767,308,175,133,571,260,311,276,115,161,1501,690,811,276,116,160,106,27,79,94,58,36,144,77,67,396,216,180,126,66,60,141,67,74,40,8,32,666,297,369,182,83,99,36,20,16,21,12,9,52,43,9,47,14,33,4,2,2,38,24,14,10,8,2,21,13,8,57,30,27,68,18,50,18,11,7,222,118,104,20,16,4,3,1,2,33,14,19,30,12,18,8,4,4,9,8,1,5,4,1,24,9,15,56,18,38,32,16,16,21,10,11,21,12,9,14,4,10,42,20,22,26,9,17,7,2,5,7,4,3,10,8,2,10,4,6,21,9,12,15,9,6,20,8,12,-,-,-,6,3,3,2,1,1,6,1,5,29,17,12,29,14,15,20,12,8,1,1,-,424,209,215
"합계",용산구,14540,7842,6698,638,295,343,575,200,375,2169,1230,939,315,155,160,1073,489,584,265,82,183,178,68,110,606,154,452,204,123,81,609,379,230,160,85,75,327,198,129,392,216,176,211,107,104,229,65,164,405,199,206,125,74,51,30,18,12,396,266,130,91,39,52,517,388,129,644,469,175,149,93,56,84,39,45,232,131,101,58,28,30,34,21,13,99,40,59,43,25,18,111,65,46,136,60,76,55,23,32,78,44,34,43,20,23,35,25,10,57,36,21,114,65,49,137,88,49,52,26,26,73,31,42,39,21,18,87,42,45,63,29,34,18,10,8,18,9,9,113,76,37,47,21,26,12,4,8,240,203,37,14,7,7,70,40,30,24,14,10,3,2,1,28,13,15,42,15,27,72,42,30,105,57,48,83,45,38,1713,1033,680,13955,7514,6441,604,278,326,585,205,380,2088,1189,899,310,156,154,1020,473,547,270,78,192,173,65,108,594,145,449,199,121,78,625,394,231,149,79,70,323,198,125,388,213,175,206,113,93,229,60,169,391,188,203,119,73,46,31,19,12,369,244,125,85,32,53,485,364,121,635,459,176,141,92,49,54,27,27,219,118,101,60,27,33,29,17,12,102,39,63,45,26,19,103,61,42,125,52,73,55,23,32,68,39,29,45,18,27,37,25,12,54,32,22,96,54,42,138,90,48,62,32,30,68,30,38,33,21,12,75,38,37,55,21,34,23,13,10,18,10,8,101,70,31,53,25,28,16,4,12,248,204,44,19,9,10,59,35,24,22,13,9,3,2,1,33,13,20,38,13,25,76,43,33,92,50,42,78,41,37,1534,941,593
"합계",성동구,7177,2966,4211,1204,599,605,2540,909,1631,223,118,105,151,71,80,310,37,273,977,373,604,227,82,145,163,84,79,41,32,9,126,75,51,102,76,26,44,26,18,59,21,38,54,14,40,60,12,48,62,29,33,21,17,4,53,31,22,96,70,26,84,44,40,16,7,9,97,35,62,41,37,4,18,7,11,7,3,4,29,7,22,10,5,5,17,5,12,4,4,-,14,5,9,53,20,33,14,5,9,8,4,4,10,4,6,2,-,2,10,2,8,15,10,5,19,6,13,4,2,2,11,2,9,3,1,2,19,5,14,6,-,6,5,1,4,3,-,3,9,8,1,6,2,4,2,1,1,5,2,3,3,-,3,-,-,-,1,-,1,1,-,1,2,-,2,-,-,-,4,2,2,11,4,7,2,2,-,99,48,51,7405,3101,4304,1190,599,591,2559,925,1634,254,138,116,152,72,80,299,37,262,977,378,599,228,87,141,164,85,79,47,36,11,130,74,56,123,90,33,51,26,25,87,39,48,56,12,44,71,12,59,81,38,43,22,18,4,52,35,17,83,61,22,156,76,80,13,5,8,92,33,59,42,36,6,23,9,14,10,5,5,33,10,23,10,6,4,20,5,15,3,3,-,14,5,9,50,15,35,13,6,7,8,4,4,10,4,6,3,1,2,17,8,9,28,13,15,19,7,12,8,2,6,10,2,8,4,1,3,21,5,16,9,1,8,10,6,4,4,-,4,8,8,-,6,2,4,3,2,1,5,2,3,5,-,5,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,5,3,2,9,3,6,2,2,-,104,49,55
"합계",광진구,15355,6167,9188,3437,1723,1714,4963,1736,3227,240,109,131,166,49,117,475,64,411,2009,612,1397,1173,494,679,84,26,58,53,33,20,187,113,74,452,356,96,49,25,24,135,51,84,49,2,47,92,17,75,89,26,63,17,9,8,197,102,95,199,132,67,147,58,89,3,3,-,168,57,111,133,103,30,15,5,10,4,1,3,62,8,54,5,2,3,75,25,50,20,19,1,13,2,11,143,40,103,13,-,13,39,22,17,16,3,13,7,2,5,17,9,8,33,7,26,24,7,17,39,17,22,15,4,11,18,4,14,38,11,27,19,4,15,10,4,6,13,3,10,1,1,-,9,4,5,14,2,12,10,4,6,4,1,3,1,1,-,3,-,3,-,-,-,2,-,2,5,1,4,2,-,2,9,2,7,-,-,-,140,52,88,15626,6285,9341,3459,1728,1731,5065,1791,3274,243,112,131,151,45,106,503,65,438,2073,629,1444,1246,520,726,87,28,59,52,34,18,172,104,68,491,381,110,49,24,25,122,40,82,52,4,48,94,19,75,68,20,48,17,9,8,212,99,113,206,135,71,142,58,84,3,3,-,156,54,102,167,130,37,15,5,10,5,1,4,63,8,55,6,2,4,78,25,53,14,13,1,14,4,10,159,45,114,14,-,14,41,23,18,14,3,11,7,2,5,14,9,5,25,6,19,20,7,13,24,10,14,15,4,11,13,1,12,29,7,22,20,4,16,8,3,5,7,1,6,1,1,-,3,1,2,12,2,10,10,4,6,5,2,3,1,1,-,3,-,3,-,-,-,2,-,2,4,1,3,4,1,3,12,2,10,-,-,-,134,55,79
"합계",동대문구,17875,6468,11407,1594,797,797,7678,2313,5365,271,107,164,399,86,313,724,62,662,2990,1385,1605,683,263,420,190,71,119,51,35,16,164,85,79,338,220,118,66,30,36,120,31,89,91,10,81,168,37,131,158,65,93,25,10,15,291,194,97,34,24,10,116,39,77,9,6,3,124,32,92,61,41,20,72,40,32,9,3,6,176,31,145,9,6,3,88,18,70,17,13,4,30,7,23,121,53,68,46,9,37,52,20,32,24,7,17,3,1,2,25,4,21,30,8,22,47,10,37,29,13,16,48,14,34,41,5,36,37,8,29,20,2,18,12,6,6,27,9,18,12,7,5,9,3,6,17,2,15,20,8,12,7,3,4,4,2,2,5,3,2,-,-,-,5,2,3,15,5,10,10,5,5,19,1,18,22,13,9,422,184,238,18724,6774,11950,1556,777,779,7967,2469,5498,274,114,160,422,89,333,798,70,728,3057,1399,1658,711,270,441,190,65,125,56,33,23,170,88,82,365,233,132,72,31,41,153,40,113,106,16,90,191,40,151,201,76,125,25,10,15,360,228,132,39,27,12,117,38,79,8,5,3,124,31,93,70,45,25,71,41,30,13,7,6,190,34,156,9,6,3,99,20,79,17,12,5,31,5,26,140,63,77,43,10,33,52,20,32,33,10,23,5,2,3,31,7,24,43,14,29,61,10,51,36,14,22,61,19,42,47,11,36,39,7,32,18,2,16,14,6,8,18,8,10,12,7,5,13,4,9,27,3,24,28,11,17,5,3,2,4,2,2,7,3,4,-,-,-,8,3,5,14,4,10,17,5,12,21,4,17,23,14,9,442,189,253
