"항목","구분별(1)",구분별(2),2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"항목","구분별(1)",구분별(2),원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"발생","합계",소계,320177,-22928,-6.7,309001,-11176,-3.5,309268,267,0.1,296177,-13091,-4.2,257967,-38210,-12.9,279507,21540,8.3,277213,-2294,-0.8
"발생","합계",강력범,7501,803,12.0,6991,-510,-6.8,6993,2,0.0,6264,-729,-10.4,5343,-921,-14.7,6254,911,17.1,6264,10,0.2
"발생","합계",절도범,41146,-5712,-12.2,39175,-1971,-4.8,42203,3028,7.7,38292,-3911,-9.3,33529,-4763,-12.4,37579,4050,12.1,37038,-541,-1.4
"발생","합계",폭력범,59399,-5170,-8.0,56075,-3324,-5.6,54723,-1352,-2.4,48344,-6379,-11.7,41756,-6588,-13.6,46783,5027,12.0,43132,-3651,-7.8
"발생","합계",지능범,70764,-1673,-2.3,75826,5062,7.2,80710,4884,6.4,85968,5258,6.5,68314,-17654,-20.5,78566,10252,15.0,84182,5616,7.1
"발생","합계",풍속범,1489,-340,-18.6,1121,-368,-24.7,1349,228,20.3,1523,174,12.9,1334,-189,-12.4,939,-395,-29.6,5100,4161,443.1
"발생","합계",기타형사범,22966,-2152,-8.6,23913,947,4.1,23596,-317,-1.3,23177,-419,-1.8,21383,-1794,-7.7,26162,4779,22.3,49532,23370,89.3
"발생","합계",특별법범,116912,-8684,-6.9,105900,-11012,-9.4,99694,-6206,-5.9,92609,-7085,-7.1,86308,-6301,-6.8,83224,-3084,-3.6,51965,-31259,-37.6
"검거","합계",소계,253068,-14214,-5.3,239291,-13777,-5.4,235360,-3931,-1.6,219683,-15677,-6.7,189139,-30544,-13.9,192540,3401,1.8,198771,6231,3.2
"검거","합계",강력범,7063,847,13.6,6598,-465,-6.6,6491,-107,-1.6,5907,-584,-9.0,4838,-1069,-18.1,5745,907,18.7,5850,105,1.8
"검거","합계",절도범,21408,-1158,-5.1,19762,-1646,-7.7,21284,1522,7.7,19705,-1579,-7.4,17950,-1755,-8.9,20205,2255,12.6,21600,1395,6.9
"검거","합계",폭력범,51576,-4310,-7.7,48389,-3187,-6.2,47253,-1136,-2.3,41127,-6126,-13.0,35388,-5739,-14.0,39338,3950,11.2,37567,-1771,-4.5
"검거","합계",지능범,44976,-863,-1.9,46561,1585,3.5,47539,978,2.1,48780,1241,2.6,36227,-12553,-25.7,38584,2357,6.5,42791,4207,10.9
"검거","합계",풍속범,1332,-382,-22.3,964,-368,-27.6,1154,190,19.7,1325,171,14.8,1124,-201,-15.2,760,-364,-32.4,4107,3347,440.4
"검거","합계",기타형사범,19128,-1362,-6.6,19258,130,0.7,19385,127,0.7,18594,-791,-4.1,16125,-2469,-13.3,16620,495,3.1,39622,23002,138.4
"검거","합계",특별법범,107585,-6986,-6.1,97759,-9826,-9.1,92254,-5505,-5.6,84245,-8009,-8.7,77487,-6758,-8.0,71288,-6199,-8.0,47234,-24054,-33.7
