,행정구,1인가구수,범죄건수,인구
0,강남구,76809,29114,511084
1,강동구,62943,9785,446561
2,강북구,52659,8048,284155
3,강서구,104509,12954,549557
4,관악구,150745,15379,493677
5,광진구,71959,9688,348160
6,구로구,61318,10410,423397
7,금천구,52033,7447,245860
8,노원구,65275,10144,492979
9,도봉구,41525,5533,299931
10,동대문구,70959,9885,355999
11,동작구,74443,8868,384089
12,마포구,72112,12342,361380
13,서대문구,56170,6816,320168
14,서초구,48756,16941,385267
15,성동구,48111,7367,277683
16,성북구,69148,8130,432874
17,송파구,87140,17190,630744
18,양천구,47106,8529,422248
19,영등포구,77895,13905,400544
20,용산구,42482,9042,214791
21,은평구,68850,9905,452988
22,종로구,29334,9223,146179
23,중구,28293,9793,127576
24,중랑구,66906,9536,376621
