,행정구,20년~30년미만 단독주택,20년~30년미만 아파트,20년~30년미만 연립주택,20년~30년미만 다세대주택,20년~30년미만 비주거용 건물 내 주택,30년 이상 단독주택,30년 이상 아파트,30년 이상 연립주택,30년 이상 다세대주택,30년 이상 비주거용 건물 내 주택
0,종로구,1824,4343,2202,7784,195,8675,2776,2775,1252,499
1,중구,932,11137,1182,3181,178,4518,2638,592,964,527
2,용산구,2176,14739,1806,5104,95,10567,8568,1227,4204,463
3,성동구,1748,31537,358,3377,188,7224,6764,1346,1571,656
4,광진구,3988,15832,1846,9400,242,9015,7542,1834,2834,905
5,동대문구,2971,26151,890,2885,242,11999,6190,1472,1854,1001
6,중랑구,3610,28688,1308,5915,287,12258,5600,2438,2586,923
7,성북구,3953,29606,2643,8617,327,15324,2651,2726,4075,687
8,강북구,3847,7710,2116,11920,183,12040,7918,1956,9501,643
9,도봉구,2193,25915,1712,9786,135,5545,31340,1672,5571,463
10,노원구,1336,59727,2066,4879,200,4208,90559,775,3146,340
11,은평구,2337,10717,2788,21646,242,10743,4263,2397,12421,755
12,서대문구,2100,22237,2599,8088,202,9227,6515,2163,6659,541
13,마포구,2974,22152,1238,8457,356,6658,8142,1419,8615,686
14,양천구,1580,32121,1293,10404,173,5447,32256,2071,11509,514
15,강서구,2390,43739,1670,24611,278,6295,22976,2262,6443,634
16,구로구,1845,39589,1572,10144,143,8741,11648,4849,3670,528
17,금천구,1216,11078,1325,5183,59,6693,6655,2257,2252,311
18,영등포구,2276,28004,384,3400,117,10327,21253,881,1617,736
19,동작구,2068,27389,2578,8669,197,9937,7648,1815,6258,552
20,관악구,4481,25288,3563,11983,495,12119,7824,2034,10563,718
21,서초구,1714,20452,2385,6973,258,2740,19168,2343,4317,641
22,강남구,3068,22475,2501,13432,426,2336,50105,2060,3473,696
23,송파구,2008,21246,1494,20071,242,5228,39141,2504,7596,1013
24,강동구,1935,20282,1193,6586,162,6669,12898,1633,4126,686
