,행정구,한국계 중국인,중국인,중국계,외국인,외국인1,비중국계,인구,가구,외국인가구,범죄건수
0,강남구,419,933,1352,5334,8288,3982,511084,222421,3450,29114
1,강동구,1340,610,1950,4068,6543,2118,446561,192312,2658,9785
2,강북구,758,1002,1760,4649,6602,2889,284155,134438,2985,8048
3,강서구,1719,1012,2731,5639,8518,2908,549557,258700,2982,12954
4,관악구,5567,2745,8312,15410,24193,7098,493677,275312,11971,15379
5,광진구,3437,4963,8400,15355,21610,6955,348160,168848,10143,9688
6,구로구,15704,5137,20841,22886,43237,2045,423397,190000,18646,10410
7,금천구,9243,2618,11861,13465,25495,1604,245860,123220,11373,7447
8,노원구,402,828,1230,4434,6336,3204,492979,207589,1728,10144
9,도봉구,337,377,714,2393,3564,1679,299931,130370,1142,5533
10,동대문구,1594,7678,9272,17875,23254,8603,355999,171039,11428,9885
11,동작구,2955,3267,6222,10586,16454,4364,384089,181307,7289,8868
12,마포구,711,3249,3960,11382,12941,7422,361380,173258,5756,12342
13,서대문구,553,4581,5134,13938,17051,8804,320168,145742,7455,6816
14,서초구,405,651,1056,4362,6384,3306,385267,159582,2233,16941
15,성동구,1204,2540,3744,7177,10368,3433,277683,127950,4756,7367
16,성북구,682,4274,4956,12418,15708,7462,432874,191164,6545,8130
17,송파구,1944,954,2898,5771,9406,2873,630744,269591,3662,17190
18,양천구,1193,529,1722,3190,5339,1468,422248,171469,1941,8529
19,영등포구,15015,4860,19875,22704,42885,2829,400544,190452,15438,13905
20,용산구,638,575,1213,14540,14223,13327,214791,103826,5431,9042
21,은평구,816,718,1534,4057,5647,2523,452988,200425,1798,9905
22,종로구,849,3985,4834,11182,12659,6348,146179,70217,5600,9223
23,중구,1066,2976,4042,10420,11650,6378,127576,64325,4987,9793
24,중랑구,1121,724,1845,5143,7784,3298,376621,174863,2972,9536
