,행정구,한국계 중국인 남자,한국계 중국인 여자,중국 남자,중국 여자,미국 남자,미국 여자,타이완 남자,타이완 여자,일본 남자,일본 여자,베트남 남자,베트남 여자,몽골 남자,몽골 여자,필리핀 남자,필리핀 여자,캐나다 남자,캐나다 여자,인도 남자,인도 여자,우즈베키스탄 남자,우즈베키스탄 여자,영국 남자,영국 여자,프랑스 남자,프랑스 여자,타이 남자,타이 여자,러시아(연방) 남자,러시아(연방) 여자,독일 남자,독일 여자,오스트레일리아 남자,오스트레일리아 여자,네팔 남자,네팔 여자,파키스탄 남자,파키스탄 여자,인도네시아 남자,인도네시아 여자,나이지리아 남자,나이지리아 여자,말레이시아 남자,말레이시아 여자,방글라데시 남자,방글라데시 여자,캄보디아 남자,캄보디아 여자,사우디아라비아 남자,사우디아라비아 여자,홍콩 남자,홍콩 여자,뉴질랜드 남자,뉴질랜드 여자,카자흐스탄 남자,카자흐스탄 여자,스리랑카 남자,스리랑카 여자,남아프리카공화국 남자,남아프리카공화국 여자,미얀마 남자,미얀마 여자,싱가포르 남자,싱가포르 여자,이란 남자,이란 여자,브라질 남자,브라질 여자,아일랜드 남자,아일랜드 여자,스웨덴 남자,스웨덴 여자,이탈리아 남자,이탈리아 여자,튀르키예 남자,튀르키예 여자,네덜란드 남자,네덜란드 여자,키르기스스탄 남자,키르기스스탄 여자,멕시코 남자,멕시코 여자,스페인 남자,스페인 여자,우크라이나 남자,우크라이나 여자,스위스 남자,스위스 여자,핀란드 남자,핀란드 여자,가나 남자,가나 여자,벨기에 남자,벨기에 여자,폴란드 남자,폴란드 여자,이집트 남자,이집트 여자,오스트리아 남자,오스트리아 여자,수단 남자,수단 여자,아르헨티나 남자,아르헨티나 여자,오만 남자,오만 여자,이스라엘 남자,이스라엘 여자,페루 남자,페루 여자,덴마크 남자,덴마크 여자,모로코 남자,모로코 여자,이라크 남자,이라크 여자,기타 남자,기타 여자
0,종로구,415,434,1095,2890,526,460,84,189,157,221,971,1030,32,54,22,59,24,17,22,17,41,30,68,31,73,84,6,32,44,62,31,41,69,64,459,302,15,5,15,34,1,1,13,21,3,3,2,8,8,6,5,34,4,-,13,14,5,7,2,-,48,23,11,18,4,1,26,29,9,5,-,9,15,15,5,15,11,19,1,2,9,15,17,20,1,4,17,6,3,11,2,1,7,6,8,12,6,3,7,8,-,-,-,-,8,9,18,22,2,2,5,10,3,4,-,-,129,166
1,중구,537,529,1251,1725,173,121,253,308,115,156,682,820,117,157,32,78,62,43,87,66,218,176,65,59,59,57,8,34,351,404,90,96,21,18,13,9,41,6,12,23,2,1,23,15,4,2,11,8,14,10,18,51,12,8,128,104,22,7,2,2,11,16,11,20,4,4,7,2,4,2,10,17,17,27,15,13,12,9,12,9,3,9,20,15,9,17,2,3,4,7,9,2,4,3,7,16,14,6,6,9,-,1,1,2,-,1,1,4,17,13,19,18,12,4,-,-,219,205
2,용산구,295,343,200,375,1230,939,155,160,489,584,82,183,68,110,154,452,123,81,379,230,85,75,198,129,216,176,107,104,65,164,199,206,74,51,18,12,266,130,39,52,388,129,469,175,93,56,39,45,131,101,28,30,21,13,40,59,25,18,65,46,60,76,23,32,44,34,20,23,25,10,36,21,65,49,88,49,26,26,31,42,21,18,42,45,29,34,10,8,9,9,76,37,21,26,4,8,203,37,7,7,40,30,14,10,2,1,13,15,15,27,42,30,57,48,45,38,1033,680
3,성동구,599,605,909,1631,118,105,71,80,37,273,373,604,82,145,84,79,32,9,75,51,76,26,26,18,21,38,14,40,12,48,29,33,17,4,31,22,70,26,44,40,7,9,35,62,37,4,7,11,3,4,7,22,5,5,5,12,4,-,5,9,20,33,5,9,4,4,4,6,-,2,2,8,10,5,6,13,2,2,2,9,1,2,5,14,-,6,1,4,-,3,8,1,2,4,1,1,2,3,-,3,-,-,-,1,-,1,-,2,-,-,2,2,4,7,2,-,48,51
4,광진구,1723,1714,1736,3227,109,131,49,117,64,411,612,1397,494,679,26,58,33,20,113,74,356,96,25,24,51,84,2,47,17,75,26,63,9,8,102,95,132,67,58,89,3,-,57,111,103,30,5,10,1,3,8,54,2,3,25,50,19,1,2,11,40,103,-,13,22,17,3,13,2,5,9,8,7,26,7,17,17,22,4,11,4,14,11,27,4,15,4,6,3,10,1,-,4,5,2,12,4,6,1,3,1,-,-,3,-,-,-,2,1,4,-,2,2,7,-,-,52,88
5,동대문구,797,797,2313,5365,107,164,86,313,62,662,1385,1605,263,420,71,119,35,16,85,79,220,118,30,36,31,89,10,81,37,131,65,93,10,15,194,97,24,10,39,77,6,3,32,92,41,20,40,32,3,6,31,145,6,3,18,70,13,4,7,23,53,68,9,37,20,32,7,17,1,2,4,21,8,22,10,37,13,16,14,34,5,36,8,29,2,18,6,6,9,18,7,5,3,6,2,15,8,12,3,4,2,2,3,2,-,-,2,3,5,10,5,5,1,18,13,9,184,238
6,중랑구,522,599,237,487,35,37,32,51,13,147,258,483,663,873,29,113,12,11,3,1,22,30,15,9,7,8,5,58,3,27,3,1,7,1,21,13,7,3,2,7,1,-,4,5,42,10,4,22,-,-,-,20,-,-,9,8,6,1,2,3,10,7,1,3,9,3,1,7,4,1,1,1,4,3,5,4,3,1,2,9,1,5,-,1,-,-,4,-,-,-,1,-,-,1,-,4,2,-,-,-,-,-,1,1,-,-,-,-,1,1,-,1,1,7,-,-,15,25
7,성북구,339,343,1400,2874,222,302,107,182,53,370,603,1105,419,777,73,207,48,33,103,85,159,60,40,44,40,104,15,52,21,137,54,60,17,27,45,46,74,40,63,98,7,5,29,81,46,27,9,24,5,5,10,53,4,3,20,93,11,18,12,11,57,108,11,16,8,19,9,4,9,6,7,9,22,31,18,34,13,18,15,23,8,22,11,15,7,17,5,8,9,9,3,3,9,6,3,11,5,8,7,6,2,1,-,1,6,3,-,3,8,14,4,9,9,14,-,-,184,237
8,강북구,360,398,264,738,51,46,51,76,8,155,238,563,243,487,21,78,13,2,9,3,79,50,7,9,17,22,43,62,6,42,4,11,1,-,16,19,30,12,5,24,-,-,2,4,6,4,5,20,14,15,-,22,5,-,7,20,2,2,3,3,11,19,1,5,8,5,1,4,3,-,2,2,1,-,22,9,1,1,2,8,-,4,7,9,8,11,2,2,-,-,-,1,1,1,3,4,1,1,1,1,1,-,1,1,-,-,1,1,-,1,-,-,1,5,-,-,24,54
9,도봉구,159,178,99,278,40,43,18,27,18,120,100,333,106,174,51,118,10,7,1,3,21,44,15,11,9,4,12,34,6,28,3,4,3,2,20,13,28,6,3,8,6,1,1,10,5,1,12,18,-,-,2,10,-,1,1,6,-,1,2,4,24,29,2,-,4,3,1,1,1,-,-,-,2,-,1,8,1,-,-,7,1,2,2,-,-,2,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,1,-,-,-,-,1,-,-,-,4,-,-,-,26,28
10,노원구,187,215,345,483,101,104,30,43,18,219,477,690,164,184,17,70,27,12,49,35,55,27,19,13,8,8,79,39,16,67,8,3,11,1,22,15,17,25,15,14,10,1,5,7,11,9,20,15,6,-,2,12,3,1,4,17,1,2,7,6,39,107,-,2,7,23,1,4,3,-,1,-,4,1,5,6,-,-,10,9,3,5,5,3,2,7,-,1,1,2,6,-,1,3,1,2,5,5,-,-,-,-,-,-,-,-,1,-,2,3,1,-,1,3,2,2,40,34
11,은평구,393,423,238,480,91,73,239,248,73,291,119,373,27,45,27,81,21,15,35,21,22,34,33,12,17,24,18,57,11,43,12,7,11,5,8,3,9,2,9,17,4,1,12,21,7,1,18,18,7,3,12,36,4,2,4,7,1,1,10,10,15,8,4,3,5,1,2,4,6,1,3,1,4,2,1,5,9,3,2,5,4,2,6,4,1,6,4,2,1,1,1,1,2,1,-,3,7,5,-,1,-,-,1,-,-,-,-,-,-,-,2,2,-,7,-,1,36,26
