,자치구별,인구소계,봉사활동 등록률,이혼율,1인가구수(남자),1인가구수(여자),1인가구수(남녀총합)
0,종로구,139417,45.09,1.43,14040,15294,29334
1,중구,121312,33.53,1.62,13574,14719,28293
2,용산구,213151,26.23,1.46,19436,23046,42482
3,성동구,277361,27.77,1.23,23464,24647,48111
4,광진구,335554,27.17,1.34,34355,37604,71959
5,동대문구,341149,26.51,1.22,34960,35999,70959
6,중랑구,382155,28.52,1.57,32454,34452,66906
7,성북구,425602,25.13,1.23,30867,38281,69148
8,강북구,288113,21.9,1.73,24116,28543,52659
9,도봉구,306948,26.68,1.54,18400,23125,41525
10,노원구,498213,32.2,1.35,27648,37627,65275
11,은평구,466770,26.64,1.48,29345,39505,68850
12,서대문구,306231,30.97,1.22,24297,31873,56170
13,마포구,363697,27.68,1.18,31196,40916,72112
14,양천구,436028,32.76,1.29,21436,25670,47106
15,강서구,563058,34.73,1.47,47105,57404,104509
16,구로구,392405,23.48,1.47,29957,31361,61318
17,금천구,227481,25.07,1.64,27499,24534,52033
18,영등포구,374794,27.25,1.18,38146,39749,77895
19,동작구,378769,23.31,1.06,35650,38793,74443
20,관악구,481956,23.83,1.36,79518,71227,150745
21,서초구,407664,29.72,1.06,21432,27324,48756
22,강남구,544873,36.12,1.05,33217,43592,76809
23,송파구,654166,24.5,1.16,38849,48291,87140
24,강동구,459167,24.77,1.37,29123,33820,62943
