,자치구별,인구소계,봉사활동 등록률,이혼율,1인가구수(남자),1인가구수(여자),1인가구수(남녀총합),초등학교 학업중단율,중학교 학업중단율,고등학교 학업중단율,소계(10만명당자살률),남자(10만명당자살률),여자(10만명당자살률),등록외국인 소계,외국인 남자 총합,외국인 여자 총합,청소년비행 신고,총 범죄 발생 건수,강력범죄,가구-계 (가구),정신의료기관수,정신의료기관 병상 수,우울감경험율,2023 실업률,정신의료기관비율,병상 수 비율,인구 비율,청소년비행_비율,1인가구_비율,1인가구_비율(여성),1인가구_비율(남성),외국인비율,총범죄율,강력범죄율
0,종로구,139417,45.09,1.43,14040,15294,29334,2.09,1.37,2.19,24.5,29.9,19.5,11182,4597,6585,135,9223,251,70217,27,83,7.2,3.4,19.36636134761184,59.533629327843805,1.4853664497699453,96.8318067380592,41.77620804078784,21.78105017303502,19.995157867752823,8.020542688481319,6615.405581815705,180.03543326853972
1,중구,121312,33.53,1.62,13574,14719,28293,2.64,1.73,2.7,29.4,43.3,16.3,10420,4873,5547,179,9793,238,64325,21,20,6.9,3.0999999999999996,17.310735953574255,16.486415193880244,1.292473477083079,147.55341598522818,43.984453944811506,22.882238631947143,21.102215312864363,8.589422316011607,8072.573199683461,196.18834080717488
2,용산구,213151,26.23,1.46,19436,23046,42482,4.18,1.96,1.85,21.7,28.4,15.4,14540,7842,6698,99,9042,266,103826,9,21,7.0,3.5,4.222358797284554,9.852170526997293,2.2709378636386788,46.44594677013009,40.916533430932525,22.19675225858648,18.71978117234604,6.821455212501935,4242.063138338549,124.79416000863237
3,성동구,277361,27.77,1.23,23464,24647,48111,1.91,0.85,1.67,23.1,32.7,14.0,7177,2966,4211,345,7367,128,127950,17,33,7.0,3.1,6.12919624604757,11.897851536445282,2.9550393701961872,124.38662969920068,37.60140679953107,19.262993356779994,18.338413442751076,2.5876024386990237,2656.105220272497,46.1492423231817
4,광진구,335554,27.17,1.34,34355,37604,71959,1.43,1.08,1.54,27.2,39.8,15.6,15355,6167,9188,837,9688,251,168848,25,342,10.2,3.6999999999999997,7.450365663946787,101.92100228279203,3.57503499348074,249.43824242893842,42.61762058182507,22.270918222306456,20.34670235951862,4.576014590796116,2887.165702092659,74.80167126602574
5,동대문구,341149,26.51,1.22,34960,35999,70959,1.07,0.62,2.02,25.0,37.5,12.8,17875,6468,11407,342,9885,169,171039,20,774,4.8,3.9000000000000004,5.862541001146127,226.8803367443551,3.6346448350815694,100.24945111959877,41.487029274025225,21.04724653441613,20.439782739609093,5.239646019774351,2897.560889816473,49.53847145968477
6,중랑구,382155,28.52,1.57,32454,34452,66906,0.59,0.26,1.57,27.3,36.9,18.0,5143,2030,3113,705,9536,179,174863,18,341,7.7,3.3,4.710130706127095,89.23080948829664,4.071527974435209,184.48011932331124,38.261953643709646,19.702281214436447,18.559672429273203,1.3457890123117584,2495.3225785348877,46.83963313315278
7,성북구,425602,25.13,1.23,30867,38281,69148,1.12,0.94,1.77,22.3,28.4,16.7,12418,4497,7921,1126,8130,148,191164,14,34,8.6,3.3499999999999996,3.2894582262301397,7.988684263701768,4.534417838247762,264.56642590965265,36.17208260969639,20.02521395241782,16.146868657278567,2.917749446666134,1910.235384232217,34.77427267729005
8,강북구,288113,21.9,1.73,24116,28543,52659,0.58,0.67,1.84,24.9,32.9,17.5,4649,1613,3036,760,8048,151,134438,10,0,8.4,3.8,3.470860391582469,0.0,3.069592545690757,263.78538976026766,39.16972879691754,21.231348279504306,17.938380517413233,1.61360299604669,2793.3484431455713,52.409991912895286
9,도봉구,306948,26.68,1.54,18400,23125,41525,0.4,0.63,1.85,27.7,38.9,17.1,2393,823,1570,866,5533,108,130370,9,375,11.3,3.8499999999999996,2.932092732319481,122.17053051331169,3.270263031222772,282.1324784654078,31.85165298765053,17.73797652834241,14.113676459308122,0.7796108787156131,1802.5854542137429,35.18511278783377
