,자치구별,인구소계,봉사활동 등록률,이혼율,1인가구수(남자),1인가구수(여자),1인가구수(남녀총합),초등학교 학업중단율,중학교 학업중단율,고등학교 학업중단율,소계(10만명당자살률),남자(10만명당자살률),여자(10만명당자살률),등록외국인 소계,외국인 남자 총합,외국인 여자 총합,청소년비행 신고,총 범죄 발생 건수,강력범죄,인구 비율,청소년비행_비율,1인가구_비율,1인가구_비율(여성),1인가구_비율(남성),외국인비율,총범죄율,강력범죄율,가구-계 (가구),정신의료기관수,정신의료기관 병상 수,정신의료기관비율,병상 수 비율,봉사활동_역정규화
0,종로구,139417,1.0,0.5588235294117647,14040,15294,29334,0.4470899470899471,0.4763948497854078,0.5853658536585364,0.6141732283464567,29.9,19.5,11182,4597,6585,135,9223,251,0.03397741219921402,0.16595072860187657,0.5243043340741402,0.6247662773163487,0.45745388718192126,0.9276033584566361,0.7675964169275116,0.9038398028006488,70217,27,83,0.9135115722311715,0.26240100919334086,0.0
1,중구,121312,0.5015092712376024,0.8382352941176474,13574,14719,28293,0.5925925925925928,0.630901287553648,1.0,1.0,43.3,16.3,10420,4873,5547,179,9793,238,0.0,0.33300728009836833,0.6052451739544007,0.7257858931395984,0.5250336959939151,1.0,1.0,0.9999999999999999,64325,21,20,0.7992480397562163,0.07266568549065958,0.49849072876239764
2,용산구,213151,0.18671841310909887,0.6029411764705881,19436,23046,42482,1.0,0.7296137339055794,0.30894308943089444,0.39370078740157477,28.4,15.4,14540,7842,6698,99,9042,266,0.1723530272832709,0.0,0.4927939009205511,0.6629014980766703,0.37959910772178296,0.7750053359988983,0.38907216140692025,0.5749818731981641,103826,9,21,0.0717204403307608,0.043424523554452185,0.8132815868909011
3,성동구,277361,0.25312634756360497,0.2647058823529411,23464,24647,48111,0.39947089947089953,0.2532188841201717,0.16260162601626016,0.503937007874016,32.7,14.0,7177,2966,4211,345,7367,128,0.29285507850180353,0.2567052170597043,0.37128155785851846,0.39376755031325605,0.35631869136498306,0.23619763964477483,0.1361278204531502,0.10679923949761463,127950,17,33,0.17771347942395752,0.05244108725848542,0.746873652436395
4,광진구,335554,0.22725312634756367,0.4264705882352944,34355,37604,71959,0.27248677248677255,0.351931330472103,0.056910569105691255,0.826771653543307,39.8,15.6,15355,6167,9188,837,9688,251,0.40206510601403017,0.6685748618082252,0.5551453910566273,0.6697052536931745,0.47891375780322265,0.4892465358423761,0.17297964396542287,0.2773705877700061,168848,25,342,0.2511517066052884,0.44922801043633354,0.7727468736524363
5,동대문구,341149,0.1987925830099182,0.25,34960,35999,70959,0.1772486772486773,0.15450643776824033,0.44715447154471555,0.6535433070866143,37.5,12.8,17875,6468,11407,342,9885,169,0.4125651679446904,0.17720707265514077,0.5137048024664261,0.5574494061095658,0.4845958064795929,0.5737014615517515,0.1746375718826384,0.1269757273119849,171039,20,774,0.16289124073991054,0.9999999999999999,0.8012074169900818
6,중랑구,382155,0.2854678740836567,0.7647058823529413,32454,34452,66906,0.05026455026455026,0.0,0.0813008130081303,0.8346456692913389,36.9,18.0,5143,2030,3113,705,9536,179,0.48952058162273343,0.4546289677647245,0.39549318041860104,0.4340664566967405,0.3698253436829163,0.0781622361197844,0.11048460578278979,0.11090921884793584,174863,18,341,0.09883362034306295,0.39329459206877143,0.7145321259163433
7,성북구,425602,0.13928417421302286,0.2647058823529411,30867,38281,69148,0.19047619047619055,0.2918454935622318,0.24390243902439024,0.4409448818897639,28.4,16.7,12418,4497,7921,1126,8130,148,0.5710569874674862,0.7184010049492844,0.31889124200846264,0.4636913050717921,0.2225368553282523,0.27821273991506257,0.01716908140630019,0.03908268000705026,191164,14,34,0.019864438256760708,0.035211003202552896,0.8607158257869771
8,강북구,288113,0.0,1.0000000000000002,24116,28543,52659,0.047619047619047616,0.17596566523605153,0.3008130081300815,0.6456692913385826,32.9,17.5,4649,1613,3036,760,8048,151,0.3130332136007236,0.7158285864545451,0.4287666864122939,0.5743383295365063,0.33189886678206804,0.11224472394753815,0.15801673450601061,0.1440702332009243,134438,10,0,0.02994781836671867,0.0,1.0
9,도봉구,306948,0.20612332902112973,0.720588235294118,18400,23125,41525,0.0,0.1587982832618026,0.30894308943089444,0.8661417322834648,38.9,17.1,2393,823,1570,866,5533,108,0.34838060707060464,0.7762565069123729,0.16053061667468183,0.25386723362727337,0.09842157962723708,0.006109391538935735,0.0,0.041528460492872676,130370,9,375,0.0,0.5384800298977489,0.7938766709788703
10,노원구,498213,0.44415696420871065,0.4411764705882355,27648,37627,65275,0.05291005291005291,0.16738197424892706,0.6016260162601625,0.582677165354331,30.5,18.1,4434,1875,2559,1417,10144,178,0.7073250834187226,0.7837791690110413,0.14560116390039957,0.2894375784475136,0.049888018389501854,0.020155264541505263,0.037239544038164485,0.044758492320187776,207589,21,51,0.07131498899569441,0.04511887501434001,0.5558430357912894
11,은평구,466770,0.2043984476067271,0.6323529411764708,29345,39505,68850,0.07671957671957672,0.17596566523605153,0.5040650406504064,0.503937007874016,32.6,14.4,4057,1608,2449,1634,9905,170,0.6483164243864172,1.0,0.25217817655074315,0.4348309671453041,0.13063542828915897,0.017506169514365885,0.05094821244565356,0.048882909837904526,200425,14,193,0.0037377615004220432,0.1822457945220214,0.7956015523932729
